window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
207,103500,104000,500,0.0,0.4130806010928961,0.2753870673952641,0.4100877192982456,0.3288205482256855,0.2753870673952641,,,0.966,,0.4130806010928961,0.0,,1.0,0.034,0.6031657469406705,False,none,0.09825671898745476,0.0,0,0,False,0.3402745331018427,0.0
208,104000,104500,500,0.0,0.30216505894962487,0.25180421579135404,0.28815384615384615,0.39526729518234727,0.25180421579135404,,,0.92,,0.30216505894962487,0.0,,1.0,0.08,0.5769098041547254,False,none,0.07892015581589722,0.0,0,0,False,0.3402745331018427,0.0
209,104500,105000,500,0.0,0.3076454359019755,0.3076454359019755,0.3935261603885765,0.522303811433522,0.3076454359019755,,,0.896,,0.3076454359019755,0.0,,1.0,0.104,0.5440033615278212,False,none,0.06161306368362532,0.0,0,0,False,0.3402745331018427,0.0
210,105000,105500,500,0.0,0.33990584578819877,0.33990584578819877,0.5053437967115096,0.5735546443980264,0.33990584578819877,,,0.906,,0.33990584578819877,0.0,,1.0,0.094,0.5324968522964408,False,none,0.06215888079058613,0.0,0,0,False,0.3402745331018427,0.0
211,105500,106000,500,0.0,0.3893189517249667,0.3244324597708056,0.5107137024334476,0.5413186320803792,0.3244324597708056,,,0.938,,0.3893189517249667,0.0,,1.0,0.062,0.5879384031886736,False,none,0.08062525722227668,0.0,0,0,False,0.3402745331018427,0.0
212,106000,106500,500,0.0,0.3382481923221634,0.3382481923221634,0.39494685268227875,0.5194327794090353,0.3382481923221634,,,0.892,,0.3382481923221634,0.0,,1.0,0.108,0.5381843789177957,False,none,0.035501765837551276,0.0,0,0,False,0.3402745331018427,0.0
213,106500,107000,500,0.0,0.3841764964539347,0.3841764964539347,0.5211840628507295,0.5229882609833777,0.3841764964539347,,,0.868,,0.3841764964539347,0.0,,1.0,0.132,0.5250271096932606,False,none,0.10210429752139691,0.0,0,0,False,0.3402745331018427,0.0
214,107000,107500,500,0.0,0.32831412083786976,0.32831412083786976,0.38293932230102445,0.4084022227636703,0.32831412083786976,,,0.91,,0.32831412083786976,0.0,,1.0,0.09,0.5601665770418846,False,none,0.07910333558225172,0.0,0,0,False,0.3402745331018427,0.0
215,107500,108000,500,0.0,0.40126891351652244,0.40126891351652244,0.3923167848699764,0.5612648555839389,0.40126891351652244,,,0.95,,0.40126891351652244,0.0,,1.0,0.05,0.6022090740465557,False,none,0.08347452456661598,0.0,0,0,False,0.3402745331018427,0.0
216,108000,108500,500,0.0,0.2767264684197591,0.2306053903497993,0.30670676691729326,0.3414774777474851,0.2306053903497993,,,0.922,,0.2767264684197591,0.0,,1.0,0.078,0.5685481302162404,False,none,0.08149746885848293,0.0,0,0,False,0.3402745331018427,0.0
217,108500,109000,500,0.0,0.3614005202366457,0.3614005202366457,0.3647617748681578,0.4673165974040424,0.3614005202366457,,,0.932,,0.3614005202366457,0.0,,1.0,0.068,0.5891204615935699,False,none,0.09795994785238742,0.0,0,0,False,0.3402745331018427,0.0
218,109000,109500,500,0.0,0.33234491634491636,0.27695409695409695,0.324748987854251,0.3851844727123845,0.27695409695409695,,,0.908,,0.33234491634491636,0.0,,1.0,0.092,0.5603964950625299,False,none,0.08937530737218187,0.0,0,0,False,0.3402745331018427,0.0
219,109500,110000,500,0.0,0.5736688311688312,0.4780573593073593,0.5456132756132756,0.684337211427952,0.4780573593073593,,,0.954,,0.5736688311688312,0.0,,1.0,0.046,0.6180083023675814,False,none,0.11085194804046132,0.0,0,0,False,0.3402745331018427,0.0
220,110000,110500,500,0.0,0.2306435732187612,0.2306435732187612,0.2503223548482169,0.3817750967374517,0.2306435732187612,,,0.918,,0.2306435732187612,0.0,,1.0,0.082,0.5804261578806332,False,none,0.09805827950001075,0.0,0,0,False,0.3402745331018427,0.0
221,110500,111000,500,0.0,0.39628574040338743,0.39628574040338743,0.4109934101904123,0.578431605968175,0.39628574040338743,,,0.938,,0.39628574040338743,0.0,,1.0,0.062,0.6080000841721711,False,none,0.08962619315400154,0.0,0,0,False,0.3402745331018427,0.0
222,111000,111500,500,0.0,0.32177295238006764,0.32177295238006764,0.4036111817385654,0.5402111596344995,0.32177295238006764,,,0.882,,0.32177295238006764,0.0,,1.0,0.118,0.5341431816129624,False,none,0.06788989363957662,0.0,0,0,False,0.3402745331018427,0.0
223,111500,112000,500,0.0,0.2221452374340461,0.18512103119503842,0.2870590833251546,0.2976748038277135,0.18512103119503842,,,0.776,,0.2221452374340461,0.0,,1.0,0.224,0.4318782224205171,False,none,0.07821325355973446,0.0,0,0,False,0.3402745331018427,0.0
224,112000,112500,500,0.0,0.3215352880415169,0.2679460733679307,0.3744413295955146,0.45214565098203907,0.2679460733679307,,,0.876,,0.3215352880415169,0.0,,1.0,0.124,0.530828544073963,False,none,0.0637514672849347,0.0,0,0,False,0.3402745331018427,0.0
225,112500,113000,500,0.0,0.3810226312747322,0.3810226312747322,0.4027623752394394,0.5911390935855947,0.3810226312747322,,,0.886,,0.3810226312747322,0.0,,1.0,0.114,0.5504873329687014,False,none,0.058973278734393376,0.0,0,0,False,0.3402745331018427,0.0
226,113000,113500,500,0.0,0.3248876940739851,0.3248876940739851,0.35695667155751193,0.5510953164144025,0.3248876940739851,,,0.89,,0.3248876940739851,0.0,,1.0,0.11,0.5743525841145876,False,none,0.07749144221217422,0.0,0,0,False,0.3402745331018427,0.0
227,113500,114000,500,0.0,0.38970961059231995,0.3247580088269333,0.40544483294483297,0.47436019748368746,0.3247580088269333,,,0.876,,0.38970961059231995,0.0,,1.0,0.124,0.5294436832743441,False,none,0.0723678880580691,0.0,0,0,False,0.3402745331018427,0.0
228,114000,114500,500,0.0,0.31044270374933985,0.31044270374933985,0.3083522297808012,0.45265371741037763,0.31044270374933985,,,0.872,,0.31044270374933985,0.0,,1.0,0.128,0.5109192881494595,False,none,0.05046418549755728,0.0,0,0,False,0.3402745331018427,0.0
