run_name,method,seed,selection,budget,update_rule,queried_label,queried_count,labels_queried_total
E23_UNSW_Reconnaissance_random_replay_B050,unsw_reconnaissance_random_replay_B050,37,random_nested,50,replay,Reconnaissance,1,50
E23_UNSW_Reconnaissance_random_replay_B050,unsw_reconnaissance_random_replay_B050,53,random_nested,50,replay,Benign,47,50
E23_UNSW_Reconnaissance_random_replay_B050,unsw_reconnaissance_random_replay_B050,53,random_nested,50,replay,Exploits,2,50
E23_UNSW_Reconnaissance_random_replay_B050,unsw_reconnaissance_random_replay_B050,53,random_nested,50,replay,Reconnaissance,1,50
E23_UNSW_Reconnaissance_random_replay_B050,unsw_reconnaissance_random_replay_B050,71,random_nested,50,replay,Benign,47,50
E23_UNSW_Reconnaissance_random_replay_B050,unsw_reconnaissance_random_replay_B050,71,random_nested,50,replay,Exploits,2,50
E23_UNSW_Reconnaissance_random_replay_B050,unsw_reconnaissance_random_replay_B050,71,random_nested,50,replay,Reconnaissance,1,50
E23_UNSW_Reconnaissance_random_replay_B050,unsw_reconnaissance_random_replay_B050,83,random_nested,50,replay,Benign,47,50
E23_UNSW_Reconnaissance_random_replay_B050,unsw_reconnaissance_random_replay_B050,83,random_nested,50,replay,Exploits,2,50
E23_UNSW_Reconnaissance_random_replay_B050,unsw_reconnaissance_random_replay_B050,83,random_nested,50,replay,Reconnaissance,1,50
E23_UNSW_Reconnaissance_random_replay_B050,unsw_reconnaissance_random_replay_B050,97,random_nested,50,replay,Benign,47,50
E23_UNSW_Reconnaissance_random_replay_B050,unsw_reconnaissance_random_replay_B050,97,random_nested,50,replay,Exploits,2,50
E23_UNSW_Reconnaissance_random_replay_B050,unsw_reconnaissance_random_replay_B050,97,random_nested,50,replay,Reconnaissance,1,50
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,109,random_nested,200,replay,Benign,189,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,109,random_nested,200,replay,DoS,1,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,109,random_nested,200,replay,Exploits,7,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,109,random_nested,200,replay,Reconnaissance,3,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,11,random_nested,200,replay,Benign,189,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,11,random_nested,200,replay,DoS,1,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,11,random_nested,200,replay,Exploits,7,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,11,random_nested,200,replay,Reconnaissance,3,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,127,random_nested,200,replay,Benign,189,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,127,random_nested,200,replay,DoS,1,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,127,random_nested,200,replay,Exploits,7,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,127,random_nested,200,replay,Reconnaissance,3,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,149,random_nested,200,replay,Benign,189,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,149,random_nested,200,replay,DoS,1,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,149,random_nested,200,replay,Exploits,7,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,149,random_nested,200,replay,Reconnaissance,3,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,23,random_nested,200,replay,Benign,189,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,23,random_nested,200,replay,DoS,1,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,23,random_nested,200,replay,Exploits,7,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,23,random_nested,200,replay,Reconnaissance,3,200
