window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,queried_label_counts,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
50,25000,25500,500,0.0,0.382197443774415,0.3184978698120125,0.4815819209039548,0.4339628076994535,0.3184978698120125,,,0.934,,0.382197443774415,0.0,,1.0,0.066,0.595089044453096,False,latched,0.09554365363717116,0.0,0,{},50,False,0.34977195054308746,0.0
51,25500,26000,500,0.0,0.27076818289504856,0.27076818289504856,0.28911620294599016,0.43359493527038745,0.27076818289504856,,,0.932,,0.27076818289504856,0.0,,1.0,0.068,0.5999557881720632,False,latched,0.09873962307450065,0.0,0,{},50,False,0.34977195054308746,0.0
52,26000,26500,500,0.0,0.3259426210264357,0.271618850855363,0.40974025974025974,0.4315411766471556,0.271618850855363,,,0.908,,0.3259426210264357,0.0,,1.0,0.092,0.5723073899555734,False,latched,0.1798388925927803,0.0,0,{},50,False,0.34977195054308746,0.0
53,26500,27000,500,0.0,0.4265345453046418,0.28435636353642785,0.4480055081734186,0.491574108255907,0.28435636353642785,,,0.934,,0.4265345453046418,0.0,,1.0,0.066,0.5727598383933444,False,latched,0.10099456236061641,0.0,0,{},50,False,0.34977195054308746,0.0
54,27000,27500,500,0.0,0.22209513435003628,0.22209513435003628,0.22117255504352276,0.41766270173071746,0.22209513435003628,,,0.908,,0.22209513435003628,0.0,,1.0,0.092,0.5625893112366326,False,latched,0.13563356944839874,0.0,0,{},50,False,0.34977195054308746,0.0
55,27500,28000,500,0.0,0.3818149218357192,0.3818149218357192,0.46784266415845366,0.552818413190942,0.3818149218357192,,,0.868,,0.3818149218357192,0.0,,1.0,0.132,0.5402815325444954,False,latched,0.293407385560918,0.0,0,{},50,False,0.34977195054308746,0.0
56,28000,28500,500,0.0,0.2404142799282532,0.20034523327354434,0.3088704274420474,0.3244390708197351,0.20034523327354434,,,0.776,,0.2404142799282532,0.0,,1.0,0.224,0.4534001497235917,False,latched,0.32223975080858475,0.0,0,{},50,False,0.34977195054308746,0.0
57,28500,29000,500,0.0,0.23831231389034857,0.23831231389034857,0.3389710417951753,0.40359881887730353,0.23831231389034857,,,0.846,,0.23831231389034857,0.0,,1.0,0.154,0.5075655609655042,False,latched,0.21678035326776046,0.0,0,{},50,False,0.34977195054308746,0.0
58,29000,29500,500,0.0,0.38370029751716156,0.38370029751716156,0.4672511816453886,0.5284445327688047,0.38370029751716156,,,0.882,,0.38370029751716156,0.0,,1.0,0.118,0.5270042128967131,False,latched,0.21757509303951622,0.0,0,{},50,False,0.34977195054308746,0.0
59,29500,30000,500,0.0,0.24763706250037895,0.24763706250037895,0.3421127710343397,0.4341005769098621,0.24763706250037895,,,0.884,,0.24763706250037895,0.0,,1.0,0.116,0.5460585439080796,False,latched,0.17061723296653214,0.0,0,{},50,False,0.34977195054308746,0.0
60,30000,30500,500,0.0,0.21660605881160153,0.21660605881160153,0.29384208840486864,0.34971357334154607,0.21660605881160153,,,0.836,,0.21660605881160153,0.0,,1.0,0.164,0.49992785919061783,False,latched,0.21594938264509145,0.0,0,{},50,False,0.34977195054308746,0.0
61,30500,31000,500,0.0,0.31075779633744544,0.31075779633744544,0.3420762928827445,0.48475314085753396,0.31075779633744544,,,0.85,,0.31075779633744544,0.0,,1.0,0.15,0.513165723586759,False,latched,0.22177047327034463,0.0,0,{},50,False,0.34977195054308746,0.0
62,31000,31500,500,0.0,0.23910964747802424,0.23910964747802424,0.42224975526186975,0.3457830298344218,0.23910964747802424,,,0.824,,0.23910964747802424,0.0,,1.0,0.176,0.4829660283955636,False,latched,0.20582457771102317,0.0,0,{},50,False,0.34977195054308746,0.0
63,31500,32000,500,0.0,0.24060566829150282,0.20050472357625235,0.5009775171065494,0.2826915514067944,0.20050472357625235,,,0.856,,0.24060566829150282,0.0,,1.0,0.144,0.5097414490583404,False,latched,0.17375581619973668,0.0,0,{},50,False,0.34977195054308746,0.0
64,32000,32500,500,0.0,0.30468879157903545,0.2539073263158629,0.4359226190476191,0.38720525540510337,0.2539073263158629,,,0.838,,0.30468879157903545,0.0,,1.0,0.162,0.4915651423502754,False,latched,0.23668817379199775,0.0,0,{},50,False,0.34977195054308746,0.0
65,32500,33000,500,0.0,0.2548505692599621,0.21237547438330173,0.28951965065502183,0.38634753154258616,0.21237547438330173,,,0.878,,0.2548505692599621,0.0,,1.0,0.122,0.5316723222279138,False,latched,0.14980713725421843,0.0,0,{},50,False,0.34977195054308746,0.0
66,33000,33500,500,0.0,0.40447131704171907,0.40447131704171907,0.4090456853614748,0.6219499232099975,0.40447131704171907,,,0.874,,0.40447131704171907,0.0,,1.0,0.126,0.5084696618544633,False,latched,0.3270359842185697,0.0,0,{},50,False,0.34977195054308746,0.0
67,33500,34000,500,0.0,0.4021487323875957,0.4021487323875957,0.49138763307981886,0.5905569043765114,0.4021487323875957,,,0.892,,0.4021487323875957,0.0,,1.0,0.108,0.5409983618562315,False,latched,0.232097547223918,0.0,0,{},50,False,0.34977195054308746,0.0
68,34000,34500,500,0.0,0.34898003148562434,0.34898003148562434,0.4125626718421478,0.5204965241708248,0.34898003148562434,,,0.902,,0.34898003148562434,0.0,,1.0,0.098,0.5550667248494396,False,latched,0.17408834481627514,0.0,0,{},50,False,0.34977195054308746,0.0
69,34500,35000,500,0.0,0.28260295919329,0.28260295919329,0.2574577294685991,0.4576599391862737,0.28260295919329,,,0.914,,0.28260295919329,0.0,,1.0,0.086,0.5819191755693326,False,latched,0.18184868417131825,0.0,0,{},50,False,0.34977195054308746,0.0
70,35000,35500,500,0.0,0.23239188386678952,0.23239188386678952,0.41274928774928776,0.400103425863676,0.23239188386678952,,,0.922,,0.23239188386678952,0.0,,1.0,0.078,0.5766869513466137,False,latched,0.1422814687013039,0.0,0,{},50,False,0.34977195054308746,0.0
71,35500,36000,500,0.0,0.4438483305036785,0.3698736087530654,0.47456040480708406,0.4812388179256699,0.3698736087530654,,,0.93,,0.4438483305036785,0.0,,1.0,0.07,0.5728455247217848,False,latched,0.14612936279864586,0.0,0,{},50,False,0.34977195054308746,0.0
72,36000,36500,500,0.0,0.42050732992917145,0.35042277494097623,0.46005910165484637,0.5634166892752146,0.35042277494097623,,,0.944,,0.42050732992917145,0.0,,1.0,0.056,0.5896062689749347,False,latched,0.12255117830207261,0.0,0,{},50,False,0.34977195054308746,0.0
73,36500,37000,500,0.0,0.4393900791353021,0.3661583992794184,0.4295035460992908,0.5366979350439087,0.3661583992794184,,,0.948,,0.4393900791353021,0.0,,1.0,0.052,0.6034068327584104,False,latched,0.08535216356804098,0.0,0,{},50,False,0.34977195054308746,0.0
74,37000,37500,500,0.0,0.36552900959680623,0.36552900959680623,0.39625468164794003,0.5182914109680167,0.36552900959680623,,,0.896,,0.36552900959680623,0.0,,1.0,0.104,0.5773639461279847,False,latched,0.16056331564253706,0.0,0,{},50,False,0.34977195054308746,0.0
75,37500,38000,500,0.0,0.2866369644970849,0.2866369644970849,0.29768955976273054,0.4711865645091913,0.2866369644970849,,,0.888,,0.2866369644970849,0.0,,1.0,0.112,0.533914324756142,False,latched,0.1722427391301127,0.0,0,{},50,False,0.34977195054308746,0.0
76,38000,38500,500,0.0,0.3221993262629305,0.3221993262629305,0.4126948643342086,0.5604902494887719,0.3221993262629305,,,0.876,,0.3221993262629305,0.0,,1.0,0.124,0.5134711435479576,False,latched,0.23425153386995493,0.0,0,{},50,False,0.34977195054308746,0.0
77,38500,39000,500,0.0,0.43316101471188223,0.36096751225990187,0.43773448773448775,0.5377955105301718,0.36096751225990187,,,0.912,,0.43316101471188223,0.0,,1.0,0.088,0.5630955998054104,False,latched,0.20290916390752975,0.0,0,{},50,False,0.34977195054308746,0.0
78,39000,39500,500,0.0,0.3196948291339007,0.3196948291339007,0.3428688595355262,0.5448539804580066,0.3196948291339007,,,0.872,,0.3196948291339007,0.0,,1.0,0.128,0.5184463430339424,False,latched,0.2495573569305259,0.0,0,{},50,False,0.34977195054308746,0.0
79,39500,40000,500,0.0,0.2919409338538565,0.2919409338538565,0.3048661986161986,0.46130041936755734,0.2919409338538565,,,0.886,,0.2919409338538565,0.0,,1.0,0.114,0.5406300034249564,False,latched,0.1806314352557282,0.0,0,{},50,False,0.34977195054308746,0.0
80,40000,40500,500,0.0,0.380939226519337,0.380939226519337,0.4191364778345084,0.613746798080628,0.380939226519337,,,0.93,,0.380939226519337,0.0,,1.0,0.07,0.5487306105140821,False,latched,0.1515984623312936,0.0,0,{},50,False,0.34977195054308746,0.0
81,40500,41000,500,0.0,0.41042010915827953,0.41042010915827953,0.511093640810622,0.5199852454238222,0.41042010915827953,,,0.954,,0.41042010915827953,0.0,,1.0,0.046,0.58456187792583,False,latched,0.10871276402562688,0.0,0,{},50,False,0.34977195054308746,0.0
82,41000,41500,500,0.0,0.3374342105263158,0.2249561403508772,0.3916492693110647,0.30124255202219785,0.2699473684210526,,,0.932,,0.3374342105263158,0.0,,1.0,0.068,0.5541046386725986,False,latched,0.08389988215520122,0.0,0,{},50,False,0.34977195054308746,0.0
83,41500,42000,500,0.0,0.26478184991273995,0.22065154159394995,0.347907949790795,0.4556517815308312,0.22065154159394995,,,0.952,,0.26478184991273995,0.0,,1.0,0.048,0.5881440916970646,False,latched,0.07659272327416568,0.0,0,{},50,False,0.34977195054308746,0.0
84,42000,42500,500,0.0,0.3914044977874765,0.3914044977874765,0.4261761761761762,0.37547272028790074,0.3914044977874765,,,0.924,,0.3914044977874765,0.0,,1.0,0.076,0.5870270944125545,False,latched,0.08346140171878301,0.0,0,{},50,False,0.34977195054308746,0.0
85,42500,43000,500,0.0,0.29811652878014433,0.29811652878014433,0.3587982832618026,0.3868822535792216,0.29811652878014433,,,0.906,,0.29811652878014433,0.0,,1.0,0.094,0.5698013971731395,False,latched,0.10216106409884726,0.0,0,{},50,False,0.34977195054308746,0.0
86,43000,43500,500,0.0,0.40098331899480694,0.40098331899480694,0.4530117232078017,0.43936018163644747,0.40098331899480694,,,0.908,,0.40098331899480694,0.0,,1.0,0.092,0.5667944797042324,False,latched,0.17661084316374492,0.0,0,{},50,False,0.34977195054308746,0.0
