window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,queried_label_counts,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
116,58000,58500,500,0.0,0.5096041496041496,0.2548020748020748,0.6327263718568067,0.46372418221806955,0.2548020748020748,,,0.922,,0.5096041496041496,0.0,,1.0,0.078,0.5763310675708433,False,latched,0.1260132973520549,0.0,0,{},50,False,0.34161943793542465,0.0
117,58500,59000,500,0.0,0.37755873164211257,0.37755873164211257,0.3838744588744589,0.4990733118627556,0.37755873164211257,,,0.93,,0.37755873164211257,0.0,,1.0,0.07,0.5638413066748312,False,latched,0.11389412463386166,0.0,0,{},50,False,0.34161943793542465,0.0
118,59000,59500,500,0.0,0.5175633476088508,0.3450422317392339,0.5131651994607026,0.4064308853082827,0.3450422317392339,,,0.924,,0.5175633476088508,0.0,,1.0,0.076,0.5770709814795256,False,latched,0.15233620965362413,0.0,0,{},50,False,0.34161943793542465,0.0
119,59500,60000,500,0.0,0.42846595570139456,0.35705496308449547,0.5558885189295844,0.4868334242634399,0.42846595570139456,,,0.954,,0.42846595570139456,0.0,,1.0,0.046,0.6159409519474219,False,latched,0.0927936081582951,0.0,0,{},50,False,0.34161943793542465,0.0
120,60000,60500,500,0.0,0.29886107188556066,0.29886107188556066,0.42640232108317216,0.46943355938643216,0.29886107188556066,,,0.93,,0.29886107188556066,0.0,,1.0,0.07,0.5982983358656329,False,latched,0.150364854697238,0.0,0,{},50,False,0.34161943793542465,0.0
121,60500,61000,500,0.0,0.3422186304261776,0.3422186304261776,0.4236862674362674,0.5463161193880455,0.3422186304261776,,,0.87,,0.3422186304261776,0.0,,1.0,0.13,0.5375354357557728,False,latched,0.32727713831728245,0.0,0,{},50,False,0.34161943793542465,0.0
122,61000,61500,500,0.0,0.27458066866292824,0.27458066866292824,0.327599923012767,0.41567073148832256,0.27458066866292824,,,0.818,,0.27458066866292824,0.0,,1.0,0.182,0.4840997847138353,False,latched,0.2841462224302429,0.0,0,{},50,False,0.34161943793542465,0.0
123,61500,62000,500,0.0,0.2585978835978836,0.2585978835978836,0.314451566951567,0.4137178276028137,0.2585978835978836,,,0.848,,0.2585978835978836,0.0,,1.0,0.152,0.4970519816982686,False,latched,0.18768030956995155,0.0,0,{},50,False,0.34161943793542465,0.0
124,62000,62500,500,0.0,0.25340392246642246,0.25340392246642246,0.38637914230019493,0.4589871000444408,0.25340392246642246,,,0.892,,0.25340392246642246,0.0,,1.0,0.108,0.534754089821316,False,latched,0.16010745097984866,0.0,0,{},50,False,0.34161943793542465,0.0
125,62500,63000,500,0.0,0.3148438571232689,0.3148438571232689,0.3503166213845022,0.4702561062069514,0.3148438571232689,,,0.878,,0.3148438571232689,0.0,,1.0,0.122,0.533208574803879,False,latched,0.19768652927004204,0.0,0,{},50,False,0.34161943793542465,0.0
126,63000,63500,500,0.0,0.41408822526252537,0.3450735210521045,0.4894252997150691,0.513723080338905,0.3450735210521045,,,0.874,,0.41408822526252537,0.0,,1.0,0.126,0.5238624200492098,False,latched,0.20489754633291982,0.0,0,{},50,False,0.34161943793542465,0.0
127,63500,64000,500,0.0,0.311759470607912,0.25979955883992667,0.3434748841531972,0.3641602242168454,0.25979955883992667,,,0.81,,0.311759470607912,0.0,,1.0,0.19,0.47442589103116517,False,latched,0.2360612479672486,0.0,0,{},50,False,0.34161943793542465,0.0
128,64000,64500,500,0.0,0.36557239778364253,0.36557239778364253,0.45918279011383806,0.5195029336372063,0.36557239778364253,,,0.888,,0.36557239778364253,0.0,,1.0,0.112,0.5450678032029439,False,latched,0.170072658879364,0.0,0,{},50,False,0.34161943793542465,0.0
129,64500,65000,500,0.0,0.216972408650261,0.216972408650261,0.34721951852572835,0.2811299017024794,0.216972408650261,,,0.85,,0.216972408650261,0.0,,1.0,0.15,0.5226039264047976,False,latched,0.18931028220597795,0.0,0,{},50,False,0.34161943793542465,0.0
130,65000,65500,500,0.0,0.37670034723920376,0.31391695603266984,0.5635483870967742,0.38412325157064214,0.31391695603266984,,,0.864,,0.37670034723920376,0.0,,1.0,0.136,0.526944212861129,False,latched,0.16968166183644343,0.0,0,{},50,False,0.34161943793542465,0.0
131,65500,66000,500,0.0,0.29708085838644455,0.29708085838644455,0.3531573873222464,0.42999866139899556,0.29708085838644455,,,0.898,,0.29708085838644455,0.0,,1.0,0.102,0.5458770788740123,False,latched,0.12758467435606563,0.0,0,{},50,False,0.34161943793542465,0.0
132,66000,66500,500,0.0,0.27271342072337096,0.27271342072337096,0.2932449739549701,0.5011831743837686,0.27271342072337096,,,0.88,,0.27271342072337096,0.0,,1.0,0.12,0.5324404033567922,False,latched,0.15215555883746318,0.0,0,{},50,False,0.34161943793542465,0.0
133,66500,67000,500,0.0,0.38065843621399176,0.38065843621399176,0.37440718157181574,0.5811835647805831,0.38065843621399176,,,0.914,,0.38065843621399176,0.0,,1.0,0.086,0.5788557021703596,False,latched,0.19276984899726393,0.0,0,{},50,False,0.34161943793542465,0.0
134,67000,67500,500,0.0,0.4840276455975441,0.4033563713312867,0.5317222222222222,0.625714042562897,0.4033563713312867,,,0.92,,0.4840276455975441,0.0,,1.0,0.08,0.5711718069047732,False,latched,0.18178785136706,0.0,0,{},50,False,0.34161943793542465,0.0
135,67500,68000,500,0.0,0.33426651735722285,0.27855543113101905,0.3924929971988796,0.4046819106174284,0.27855543113101905,,,0.878,,0.33426651735722285,0.0,,1.0,0.122,0.5300474111074811,False,latched,0.17054869472724968,0.0,0,{},50,False,0.34161943793542465,0.0
136,68000,68500,500,0.0,0.4108300264550265,0.4108300264550265,0.38802112492068824,0.5352144430002739,0.4108300264550265,,,0.906,,0.4108300264550265,0.0,,1.0,0.094,0.5470256631337789,False,latched,0.20619567128617838,0.0,0,{},50,False,0.34161943793542465,0.0
137,68500,69000,500,0.0,0.2804139464925755,0.2804139464925755,0.2957302280446385,0.4164610547978302,0.2804139464925755,,,0.884,,0.2804139464925755,0.0,,1.0,0.116,0.5115172960035268,False,latched,0.1772691301700002,0.0,0,{},50,False,0.34161943793542465,0.0
138,69000,69500,500,0.0,0.31440386294755224,0.31440386294755224,0.3329237071172555,0.4579293188543988,0.31440386294755224,,,0.924,,0.31440386294755224,0.0,,1.0,0.076,0.5545786737186871,False,latched,0.11067620943192837,0.0,0,{},50,False,0.34161943793542465,0.0
139,69500,70000,500,0.0,0.3254904745000592,0.27124206208338264,0.3710786029257367,0.5274943025564882,0.27124206208338264,,,0.944,,0.3254904745000592,0.0,,1.0,0.056,0.5863954990153323,False,latched,0.11321720613640295,0.0,0,{},50,False,0.34161943793542465,0.0
140,70000,70500,500,0.0,0.25985298436064297,0.25985298436064297,0.26286917107248187,0.4640096154738984,0.25985298436064297,,,0.912,,0.25985298436064297,0.0,,1.0,0.088,0.5782377650329112,False,latched,0.1690576864469952,0.0,0,{},50,False,0.34161943793542465,0.0
141,70500,71000,500,0.0,0.30718097436081043,0.30718097436081043,0.3037159676232524,0.5429213049877569,0.30718097436081043,,,0.914,,0.30718097436081043,0.0,,1.0,0.086,0.5845972419264486,False,latched,0.16230251789082092,0.0,0,{},50,False,0.34161943793542465,0.0
142,71000,71500,500,0.0,0.30749785629187815,0.30749785629187815,0.3433439929771758,0.5121460331595777,0.30749785629187815,,,0.882,,0.30749785629187815,0.0,,1.0,0.118,0.5343091342476889,False,latched,0.17988649611604673,0.0,0,{},50,False,0.34161943793542465,0.0
143,71500,72000,500,0.0,0.4056095875949933,0.3380079896624944,0.4134199134199134,0.5203215898269413,0.3380079896624944,,,0.912,,0.4056095875949933,0.0,,1.0,0.088,0.5878934376053351,False,latched,0.1333046556913431,0.0,0,{},50,False,0.34161943793542465,0.0
144,72000,72500,500,0.0,0.2793047015019528,0.2793047015019528,0.38542243128574066,0.5350783568929486,0.2793047015019528,,,0.852,,0.2793047015019528,0.0,,1.0,0.148,0.5269467590833345,False,latched,0.28512439782855564,0.0,0,{},50,False,0.34161943793542465,0.0
145,72500,73000,500,0.0,0.48053286919266297,0.48053286919266297,0.5299465240641711,0.6881015325208232,0.48053286919266297,,,0.926,,0.48053286919266297,0.0,,1.0,0.074,0.5823996703125438,False,latched,0.21820952695035054,0.0,0,{},50,False,0.34161943793542465,0.0
