evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
12,60000,65000,5000,6,0,28,510,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.28868065980307517,0.28868065980307517,0.37267375716247414,0.43732743979773514,0.28868065980307517,,,0.8622,,0.28868065980307517,0.0,,1.0,0.1378,0.516542775440732
13,65000,70000,5000,6,0,21,421,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3155285977485705,0.3155285977485705,0.37464271662253196,0.4696477548170334,0.3155285977485705,,,0.8958,,0.3155285977485705,0.0,,1.0,0.1042,0.5383202297455477
14,70000,75000,5000,6,0,15,438,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.34396787931255446,0.34396787931255446,0.3744649612709508,0.5318092411536428,0.34396787931255446,,,0.9126,,0.34396787931255446,0.0,,1.0,0.0874,0.5626286156226556
15,75000,80000,5000,6,0,9,455,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3063376832676516,0.3063376832676516,0.36720423379396516,0.4644470591891247,0.3063376832676516,,,0.8858,,0.3063376832676516,0.0,,1.0,0.1142,0.5332161101197983
16,80000,85000,5000,6,0,16,410,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3062601466597728,0.3062601466597728,0.40122562314776317,0.44232482061545964,0.3062601466597728,,,0.8784,,0.3062601466597728,0.0,,1.0,0.1216,0.5247424942876892
17,85000,90000,5000,6,0,24,393,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3255332907120005,0.3255332907120005,0.37447292653293346,0.46893541572298914,0.3255332907120005,,,0.8964,,0.3255332907120005,0.0,,1.0,0.1036,0.5520689375666596
18,90000,95000,5000,6,0,27,400,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.32436668225948445,0.32436668225948445,0.3621885908708411,0.4817852838733228,0.32436668225948445,,,0.91,,0.32436668225948445,0.0,,1.0,0.09,0.5489832732377093
19,95000,100000,5000,6,0,20,505,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3100749151263113,0.3100749151263113,0.36548829702447944,0.4737903633504247,0.3100749151263113,,,0.8766,,0.3100749151263113,0.0,,1.0,0.1234,0.5216272772390905
20,100000,105000,5000,6,0,18,331,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.2996751743521298,0.2996751743521298,0.3345806732322744,0.48472100969333015,0.2996751743521298,,,0.9188,,0.2996751743521298,0.0,,1.0,0.0812,0.5443765308517904
21,105000,110000,5000,6,0,15,375,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3660593863266753,0.3660593863266753,0.4029421846977601,0.5074396186709006,0.3660593863266753,,,0.918,,0.3660593863266753,0.0,,1.0,0.082,0.5640791529977525
22,110000,115000,5000,6,0,13,527,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.2889106719595581,0.2889106719595581,0.3214073908990535,0.4667716559621772,0.2889106719595581,,,0.875,,0.2889106719595581,0.0,,1.0,0.125,0.5286697579099553
23,115000,120000,5000,6,0,15,364,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.33692215771347994,0.33692215771347994,0.42360008528786763,0.48406397117218586,0.33692215771347994,,,0.9026,,0.33692215771347994,0.0,,1.0,0.0974,0.5479812481559111
