window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,queried_label_counts,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
127,63500,64000,500,0.774,0.7650273224043715,0.25500910746812383,0.6194690265486725,,0.04912280701754386,0.7525360813156619,0.5977910406805241,0.6194690265486725,0.0,0.0,0.0,1.0,0.3825136612021858,0.12280701754385964,0.07964601769911504,1.0,0.982,0.8574338085539714,0.2061623045784395,False,latched,1.2643298839150663,0.018,0,{},50,False,0.5260686765895524,0.0
128,64000,64500,500,0.688,0.8487084870848709,0.2829028290282903,0.7371794871794872,,0.07479674796747968,0.7338739537440071,0.7107371794871795,0.7371794871794872,0.0,0.0,0.0,1.0,0.42435424354243545,0.18699186991869918,0.038461538461538464,1.0,0.988,0.7672064777327935,0.17048972568283108,False,latched,1.0929563891773006,0.012,0,{},50,False,0.5260686765895524,0.0
129,64500,65000,500,0.528,0.8815165876777251,0.2938388625592417,0.788135593220339,,0.10845481049562682,0.5770433390937018,0.6798600410888548,0.788135593220339,0.0,0.0,0.0,1.0,0.44075829383886256,0.27113702623906705,0.029661016949152543,1.0,0.986,0.6227180527383367,0.15642051881927063,False,latched,0.7534382220651347,0.014,0,{},50,False,0.5260686765895524,0.0
130,65000,65500,500,0.418,0.8764478764478765,0.29214929214929214,0.7800687285223368,,0.12489683631361762,0.44103723041080917,0.6266298360709647,0.7800687285223368,0.0,0.0,0.0,1.0,0.43822393822393824,0.312242090784044,0.027491408934707903,1.0,0.984,0.5386178861788617,0.20593053330297992,False,latched,0.5558938501158386,0.016,0,{},50,False,0.5260686765895524,0.0
131,65500,66000,500,0.546,0.8447837150127226,0.28159457167090757,0.7312775330396476,,0.09969969969969969,0.5291819138251366,0.5791095835148699,0.7312775330396476,0.0,0.0,0.0,1.0,0.4223918575063613,0.24924924924924924,0.05286343612334802,1.0,0.976,0.6598360655737705,0.12407872221558584,False,latched,0.6424178195712306,0.024,0,{},50,False,0.5260686765895524,0.0
132,66000,66500,500,0.71,0.7659574468085106,0.2553191489361702,0.6206896551724138,,0.061016949152542375,0.663632035388715,0.5480913064594464,0.6206896551724138,0.0,0.0,0.0,1.0,0.3829787234042553,0.15254237288135594,0.041379310344827586,1.0,0.988,0.8178137651821862,0.22240281576512427,False,latched,0.7491076041647532,0.012,0,{},50,False,0.5260686765895524,0.0
133,66500,67000,500,0.592,0.888283378746594,0.296094459582198,0.7990196078431373,,0.09834087481146304,0.6370134807413238,0.6887586115527292,0.7990196078431373,0.0,0.0,0.0,1.0,0.444141689373297,0.2458521870286576,0.049019607843137254,1.0,0.98,0.6673469387755102,0.12405940367052466,False,latched,0.6506633699555411,0.02,0,{},50,False,0.5260686765895524,0.0
134,67000,67500,500,0.708,0.8549019607843137,0.2849673202614379,0.7465753424657534,,0.07159277504105091,0.7066116801609987,0.6264027552047056,0.7465753424657534,0.0,0.0,0.0,1.0,0.42745098039215684,0.17898193760262726,0.0410958904109589,1.0,0.988,0.7793522267206477,0.18050161993016195,False,latched,0.8850273355320041,0.012,0,{},50,False,0.5260686765895524,0.0
135,67500,68000,500,0.714,0.7829787234042553,0.26099290780141843,0.6433566433566433,,0.06216216216216216,0.665735305115479,0.5273549979432333,0.6433566433566433,0.0,0.0,0.0,1.0,0.39148936170212767,0.1554054054054054,0.06293706293706294,1.0,0.982,0.8126272912423625,0.19237735931502775,False,latched,0.8687493513181688,0.018,0,{},50,False,0.5260686765895524,0.0
136,68000,68500,500,0.722,0.730593607305936,0.243531202435312,0.5755395683453237,,0.05517241379310345,0.6294806636691374,0.4284063054265729,0.5755395683453237,0.0,0.0,0.0,1.0,0.365296803652968,0.13793103448275862,0.07913669064748201,1.0,0.978,0.83640081799591,0.2208477677599757,False,latched,0.9186668606873198,0.022,0,{},50,False,0.5260686765895524,0.0
137,68500,69000,500,0.666,0.8600682593856656,0.28668941979522183,0.7544910179640718,,0.0805111821086262,0.71896399790726,0.7146427864990739,0.7544910179640718,0.0,0.0,0.0,1.0,0.4300341296928328,0.2012779552715655,0.041916167664670656,1.0,0.986,0.744421906693712,0.13157247171964348,False,latched,0.9349260497595923,0.014,0,{},50,False,0.5260686765895524,0.0
138,69000,69500,500,0.7,0.8372093023255814,0.27906976744186046,0.72,,0.07105263157894737,0.7181816757696644,0.6589714285714285,0.72,0.0,0.0,0.0,1.0,0.4186046511627907,0.17763157894736842,0.04,1.0,0.988,0.7813765182186235,0.15161048079854653,False,latched,1.1508368185815188,0.012,0,{},50,False,0.5260686765895524,0.0
139,69500,70000,500,0.646,0.9074074074074074,0.30246913580246915,0.8305084745762712,,0.09088098918083462,0.728157885469566,0.7489461440240681,0.8305084745762712,0.0,0.0,0.0,1.0,0.4537037037037037,0.22720247295208656,0.011299435028248588,1.0,0.996,0.7048192771084337,0.18276427945655108,False,latched,0.9702796502311057,0.004,0,{},50,False,0.5260686765895524,0.0
140,70000,70500,500,0.558,0.8519480519480519,0.28398268398268395,0.7420814479638009,,0.09879518072289156,0.53562740434717,0.5697627272579834,0.7420814479638009,0.0,0.0,0.0,1.0,0.42597402597402595,0.2469879518072289,0.09502262443438914,1.0,0.958,0.6576200417536534,0.17729862987081757,False,latched,0.7930395929402708,0.042,0,{},50,False,0.5260686765895524,0.0
141,70500,71000,500,0.658,0.8484848484848485,0.2828282828282828,0.7368421052631579,,0.0805111821086262,0.6413389539817171,0.5983398211841661,0.7368421052631579,0.0,0.0,0.0,1.0,0.42424242424242425,0.2012779552715655,0.011695906432748537,1.0,0.996,0.7469879518072289,0.1703187953540918,False,latched,0.8202090409018002,0.004,0,{},50,False,0.5260686765895524,0.0
142,71000,71500,500,0.714,0.7932489451476793,0.2644163150492264,0.6573426573426573,,0.0632996632996633,0.638803467616248,0.4829484241248947,0.6573426573426573,0.0,0.0,0.0,1.0,0.39662447257383965,0.15824915824915825,0.03496503496503497,1.0,0.99,0.8101010101010101,0.2542106269069995,False,latched,0.7846413915561965,0.01,0,{},50,False,0.5260686765895524,0.0
143,71500,72000,500,0.67,0.8737201365187713,0.2912400455062571,0.7757575757575758,,0.08152866242038218,0.5731520849319661,0.42078697421981004,0.7757575757575758,0.0,0.0,0.0,1.0,0.43686006825938567,0.20382165605095542,0.048484848484848485,1.0,0.984,0.7398373983739838,0.2559370087045379,False,latched,0.7380204129143951,0.016,0,{},50,False,0.5260686765895524,0.0
144,72000,72500,500,0.468,0.9142857142857143,0.30476190476190473,0.8421052631578947,,0.12375690607734806,0.5209181564973917,0.6730447914658442,0.8421052631578947,0.0,0.0,0.0,1.0,0.45714285714285713,0.30939226519337015,0.03759398496240601,1.0,0.98,0.5428571428571428,0.13890728368812233,False,latched,0.5533614887586122,0.02,0,{},50,False,0.5260686765895524,0.0
