window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,queried_label_counts,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
142,71000,71500,500,0.714,0.7932489451476793,0.2644163150492264,0.6573426573426573,,0.0632996632996633,0.637051625960135,0.47842353724706665,0.6573426573426573,0.0,0.0,0.0,1.0,0.39662447257383965,0.15824915824915825,0.03496503496503497,1.0,0.99,0.8101010101010101,0.2489208767147905,False,latched,0.7846413915561965,0.01,0,{},50,False,0.5303209661413969,0.0
143,71500,72000,500,0.67,0.8698630136986302,0.2899543378995434,0.7696969696969697,,0.0810207336523126,0.5718542432701148,0.4167887833559475,0.7696969696969697,0.0,0.0,0.0,1.0,0.4349315068493151,0.2025518341307815,0.048484848484848485,1.0,0.984,0.741869918699187,0.2566247718194408,False,latched,0.7380204129143951,0.016,0,{},50,False,0.5303209661413969,0.0
144,72000,72500,500,0.468,0.9142857142857143,0.30476190476190473,0.8421052631578947,,0.12375690607734806,0.5134053379495427,0.6608990424779899,0.8421052631578947,0.0,0.0,0.0,1.0,0.45714285714285713,0.30939226519337015,0.03759398496240601,1.0,0.98,0.5428571428571428,0.13860560400261482,False,latched,0.5533614887586122,0.02,0,{},50,False,0.5303209661413969,0.0
145,72500,73000,500,0.518,0.8944954128440367,0.2981651376146789,0.8091286307053942,,0.11223021582733812,0.5323708670598675,0.6136593024559829,0.8091286307053942,0.0,0.0,0.0,1.0,0.44724770642201833,0.2805755395683453,0.029045643153526972,1.0,0.986,0.6044624746450304,0.12495325583998129,False,latched,0.6169239985081362,0.014,0,{},50,False,0.5303209661413969,0.0
146,73000,73500,500,0.576,0.8415300546448088,0.28051001821493626,0.7264150943396226,,0.09418960244648318,0.5816863433952757,0.6015133647798742,0.7264150943396226,0.0,0.0,0.0,1.0,0.4207650273224044,0.23547400611620795,0.0330188679245283,1.0,0.986,0.6876267748478702,0.12308012874191963,False,latched,0.6796617450636214,0.014,0,{},50,False,0.5303209661413969,0.0
147,73500,74000,500,0.422,0.8688845401174168,0.2896281800391389,0.7681660899653979,,0.12299168975069252,0.4721999849969438,0.6710014923170271,0.7681660899653979,0.0,0.0,0.0,1.0,0.4344422700587084,0.3074792243767313,0.05536332179930796,1.0,0.968,0.5413223140495868,0.16757086158485657,False,latched,0.44731123273007817,0.032,0,{},50,False,0.5303209661413969,0.0
148,74000,74500,500,0.622,0.8979591836734694,0.29931972789115646,0.8148148148148148,,0.09418960244648318,0.6863547271140411,0.709794314295922,0.8148148148148148,0.0,0.0,0.0,1.0,0.4489795918367347,0.23547400611620795,0.031746031746031744,1.0,0.988,0.6882591093117408,0.17499761516725598,False,latched,0.8978897309200642,0.012,0,{},50,False,0.5303209661413969,0.0
149,74500,75000,500,0.6,0.8304093567251462,0.27680311890838205,0.71,,0.08847352024922119,0.6036450677251901,0.6217,0.71,0.0,0.0,0.0,1.0,0.4152046783625731,0.22118380062305296,0.02,1.0,0.992,0.7137096774193549,0.1869813545538863,False,latched,1.0417870549317112,0.008,0,{},50,False,0.5303209661413969,0.0
150,75000,75500,500,0.584,0.8847184986595175,0.29490616621983917,0.7932692307692307,,0.09924812030075188,0.6266921087808044,0.6746739989462591,0.7932692307692307,0.0,0.0,0.0,1.0,0.44235924932975873,0.24812030075187969,0.03365384615384615,1.0,0.986,0.665314401622718,0.18665162163851903,False,latched,0.9193355808340448,0.014,0,{},50,False,0.5303209661413969,0.0
151,75500,76000,500,0.584,0.8571428571428571,0.2857142857142857,0.75,,0.0951219512195122,0.5981750634902765,0.638188224446786,0.75,0.0,0.0,0.0,1.0,0.42857142857142855,0.23780487804878048,0.019230769230769232,1.0,0.992,0.6854838709677419,0.13191834036930664,False,latched,0.8090013317712651,0.008,0,{},50,False,0.5303209661413969,0.0
152,76000,76500,500,0.496,0.88,0.29333333333333333,0.7857142857142857,,0.11346704871060172,0.5130939974891969,0.6222318228366616,0.7857142857142857,0.0,0.0,0.0,1.0,0.44,0.2836676217765043,0.003968253968253968,1.0,0.998,0.6032064128256514,0.11280031424641893,False,latched,0.6404175540526852,0.002,0,{},50,False,0.5303209661413969,0.0
153,76500,77000,500,0.548,0.8948655256723717,0.2982885085574572,0.8097345132743363,,0.10717423133235723,0.5478126185747785,0.6106033201989536,0.8097345132743363,0.0,0.0,0.0,1.0,0.4474327628361858,0.2679355783308931,0.01327433628318584,1.0,0.994,0.6317907444668008,0.08364473911474322,False,latched,0.6531305409108163,0.006,0,{},50,False,0.5303209661413969,0.0
154,77000,77500,500,0.672,0.9066666666666666,0.3022222222222222,0.8292682926829268,,0.08553459119496856,0.6785624602569986,0.653346399535424,0.8292682926829268,0.0,0.0,0.0,1.0,0.4533333333333333,0.2138364779874214,0.024390243902439025,1.0,0.992,0.7258064516129032,0.19081042294092454,False,latched,0.7137405465115709,0.008,0,{},50,False,0.5303209661413969,0.0
155,77500,78000,500,0.72,0.8571428571428571,0.2857142857142857,0.75,,0.06942148760330578,0.7378062290761074,0.6747222222222222,0.75,0.0,0.0,0.0,1.0,0.42857142857142855,0.17355371900826447,0.02142857142857143,1.0,0.994,0.7887323943661971,0.2186580634718431,False,latched,0.7906400219972615,0.006,0,{},50,False,0.5303209661413969,0.0
