window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
66,33000,33500,500,0.0,0.4092024225316724,0.4092024225316724,0.4267892639603166,0.6035716048343022,0.4092024225316724,,,0.866,,0.4092024225316724,0.0,,1.0,0.134,0.5037331435698033,False,latched,0.3237605356774652,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
67,33500,34000,500,0.0,0.4271414647730438,0.4271414647730438,0.494398307347997,0.5886607072555878,0.4271414647730438,,,0.89,,0.4271414647730438,0.0,,1.0,0.11,0.5363894857615554,False,latched,0.22258544574575861,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
68,34000,34500,500,0.0,0.3597332451499118,0.3597332451499118,0.41329047387999357,0.5310979838480118,0.3597332451499118,,,0.906,,0.3597332451499118,0.0,,1.0,0.094,0.5598639195820845,False,latched,0.16804853714183585,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
69,34500,35000,500,0.0,0.2713241050221357,0.2713241050221357,0.24631642512077292,0.44041861785457687,0.2713241050221357,,,0.908,,0.2713241050221357,0.0,,1.0,0.092,0.5791463034657699,False,latched,0.17614920453710523,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
70,35000,35500,500,0.0,0.26512923351158646,0.26512923351158646,0.4249287749287749,0.44543308418545596,0.26512923351158646,,,0.93,,0.26512923351158646,0.0,,1.0,0.07,0.5890588718726472,False,latched,0.1333211559927645,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
71,35500,36000,500,0.0,0.46033955857385395,0.38361629881154496,0.47456040480708406,0.481174314932712,0.38361629881154496,,,0.93,,0.46033955857385395,0.0,,1.0,0.07,0.5731309923810267,False,latched,0.14129832095287684,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
72,36000,36500,500,0.0,0.36737891737891737,0.30614909781576444,0.4156146572104019,0.5158538734543877,0.30614909781576444,,,0.94,,0.36737891737891737,0.0,,1.0,0.06,0.5901063192634343,False,latched,0.11369426745138474,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
73,36500,37000,500,0.0,0.4225569702376125,0.35213080853134376,0.4165957446808511,0.5219579675296675,0.35213080853134376,,,0.948,,0.4225569702376125,0.0,,1.0,0.052,0.6075083385020844,False,latched,0.08251869154697013,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
74,37000,37500,500,0.0,0.3570155637400499,0.3570155637400499,0.3966292134831461,0.5236520217673252,0.3570155637400499,,,0.898,,0.3570155637400499,0.0,,1.0,0.102,0.5770728421198108,False,latched,0.15609886722635305,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
75,37500,38000,500,0.0,0.26284533354133055,0.26284533354133055,0.3042129550666136,0.4748264489997675,0.26284533354133055,,,0.89,,0.26284533354133055,0.0,,1.0,0.11,0.5341315678412377,False,latched,0.17398689904007195,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
76,38000,38500,500,0.0,0.2976302346890582,0.2976302346890582,0.481267002578478,0.552404100633815,0.2976302346890582,,,0.874,,0.2976302346890582,0.0,,1.0,0.126,0.5125263718159115,False,latched,0.230127534750789,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
77,38500,39000,500,0.0,0.4245729241713237,0.35381077014276974,0.4336940836940837,0.5371620506234833,0.35381077014276974,,,0.91,,0.4245729241713237,0.0,,1.0,0.09,0.562074432739978,False,latched,0.22879772268235973,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
78,39000,39500,500,0.0,0.3200246011744054,0.3200246011744054,0.341703358370025,0.5321347378144371,0.3200246011744054,,,0.866,,0.3200246011744054,0.0,,1.0,0.134,0.5071335711964056,False,latched,0.25742895707057856,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
79,39500,40000,500,0.0,0.26014157014157013,0.26014157014157013,0.2998702686202686,0.4296619249583713,0.26014157014157013,,,0.878,,0.26014157014157013,0.0,,1.0,0.122,0.5362410618785071,False,latched,0.15753180148607396,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
80,40000,40500,500,0.0,0.2769933554817276,0.2769933554817276,0.3535922684172137,0.526037032171909,0.2769933554817276,,,0.912,,0.2769933554817276,0.0,,1.0,0.088,0.5340794505756515,False,latched,0.15295452050677502,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
81,40500,41000,500,0.0,0.4256484348125215,0.4256484348125215,0.5246331236897275,0.5289252328048835,0.4256484348125215,,,0.954,,0.4256484348125215,0.0,,1.0,0.046,0.5861695756004395,False,latched,0.11175270741000931,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
82,41000,41500,500,0.0,0.342600422832981,0.228400281888654,0.3895615866388309,0.27672859891577817,0.228400281888654,,,0.924,,0.342600422832981,0.0,,1.0,0.076,0.5454115232199555,False,latched,0.09064599165964148,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
83,41500,42000,500,0.0,0.29101997896950577,0.24251664914125481,0.36483453784709013,0.4580554594411552,0.24251664914125481,,,0.948,,0.29101997896950577,0.0,,1.0,0.052,0.5863497507179348,False,latched,0.08037453991381176,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
84,42000,42500,500,0.0,0.4013827644400893,0.4013827644400893,0.44573419573419576,0.42213851199778146,0.4013827644400893,,,0.932,,0.4013827644400893,0.0,,1.0,0.068,0.5954689169501289,False,latched,0.0823424181931934,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
85,42500,43000,500,0.0,0.29407777303687493,0.29407777303687493,0.3584406294706724,0.3808320060549436,0.29407777303687493,,,0.904,,0.29407777303687493,0.0,,1.0,0.096,0.5715226692003739,False,latched,0.09868976489762896,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
86,43000,43500,500,0.0,0.40835978116310007,0.40835978116310007,0.4548272642390289,0.47057673734484523,0.40835978116310007,,,0.918,,0.40835978116310007,0.0,,1.0,0.082,0.5769453184354368,False,latched,0.18303076946630434,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
87,43500,44000,500,0.0,0.4482141709042405,0.37351180908686704,0.4881116429441155,0.49655443916691056,0.37351180908686704,,,0.92,,0.4482141709042405,0.0,,1.0,0.08,0.5832290372459511,False,latched,0.11946852145643906,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
88,44000,44500,500,0.0,0.45264207828387776,0.3772017319032315,0.47480519480519484,0.571898617699217,0.3772017319032315,,,0.936,,0.45264207828387776,0.0,,1.0,0.064,0.5820821779528308,False,latched,0.12265776036737416,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
89,44500,45000,500,0.0,0.3157913106938594,0.3157913106938594,0.3668982957201751,0.5185392842598416,0.3157913106938594,,,0.87,,0.3157913106938594,0.0,,1.0,0.13,0.5493985611552902,False,latched,0.2754178833642717,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
90,45000,45500,500,0.0,0.19707434052757797,0.19707434052757797,0.2995433789954338,0.3727133257281526,0.19707434052757797,,,0.804,,0.19707434052757797,0.0,,1.0,0.196,0.4653686052160228,False,latched,0.2772046723561814,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
91,45500,46000,500,0.0,0.2640834436923019,0.2640834436923019,0.3549759544606929,0.4350974139427693,0.2640834436923019,,,0.844,,0.2640834436923019,0.0,,1.0,0.156,0.5032296279346453,False,latched,0.22861931488960735,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
92,46000,46500,500,0.0,0.2593945373079668,0.2593945373079668,0.33086219336219336,0.4154602707375345,0.2593945373079668,,,0.888,,0.2593945373079668,0.0,,1.0,0.112,0.5444884764704797,False,latched,0.1446905644510888,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
93,46500,47000,500,0.0,0.22366252535496958,0.22366252535496958,0.21675084175084178,0.38801441953664606,0.22366252535496958,,,0.876,,0.22366252535496958,0.0,,1.0,0.124,0.5612235071260251,False,latched,0.1484887837211612,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
94,47000,47500,500,0.0,0.2811174595456142,0.2811174595456142,0.36054482594182163,0.43680551018911057,0.2811174595456142,,,0.906,,0.2811174595456142,0.0,,1.0,0.094,0.5641648058691298,False,latched,0.13389722772029022,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
95,47500,48000,500,0.0,0.433152863168661,0.433152863168661,0.4852640716456555,0.569700322453354,0.433152863168661,,,0.876,,0.433152863168661,0.0,,1.0,0.124,0.5287270313493844,False,latched,0.23661735844925008,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
