window,start_row,stop_row,n_rows,shift_score,predicted_unknown_rate,novel_prevalence_posthoc,labels_present_posthoc,phase,normalized_shift_score
112,56000,56500,500,0.16946402828889162,0.104,0.026,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,2.6386564198538114
113,56500,57000,500,0.06691798634660504,0.062,0.038,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,-1.0164071847247225
114,57000,57500,500,0.09462626416094379,0.078,0.01,Backdoor|Benign|Exploits|Fuzzers|Generic|Reconnaissance,post_change,-0.028796976992484697
115,57500,58000,500,0.14216885258873224,0.09,0.004,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,1.6657704713315122
116,58000,58500,500,0.06835944418705733,0.04,0.008,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,-0.9650290916225355
117,58500,59000,500,0.07579766278175391,0.054,0.01,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,-0.6999075759264365
118,59000,59500,500,0.08638521955507343,0.116,0.012,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,-0.3225337378864599
119,59500,60000,500,0.08786874313880313,0.054,0.008,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,-0.26965628933046304
120,60000,60500,500,0.06656224020618734,0.056,0.01,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,post_change,-1.0290870965543941
121,60500,61000,500,0.3357140266849948,0.01,0.002,Benign|Exploits|Fuzzers|Reconnaissance,post_change,8.0
122,61000,61500,500,0.10659840977485519,0.064,0.004,Benign|DoS|Exploits|Generic|Reconnaissance|Shellcode,post_change,0.39792796405155706
123,61500,62000,500,0.15200845591265894,0.022,0.01,Benign|Exploits|Generic|Reconnaissance,post_change,2.016484894936622
124,62000,62500,500,0.10986419493070587,0.046,0.008,Benign|DoS|Exploits|Generic|Reconnaissance|Shellcode,post_change,0.5143308230740504
125,62500,63000,500,149.35208986853362,0.076,0.01,Benign|DoS|Exploits|Generic|Reconnaissance|Shellcode,post_change,8.0
126,63000,63500,500,149.35208316919437,0.06,0.004,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,post_change,8.0
127,63500,64000,500,0.1378194162462055,0.096,0.006,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,1.510742874216181
128,64000,64500,500,4.3690107517640815,0.132,0.016,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,8.0
129,64500,65000,500,6.917482402287723,0.144,0.022,Benign|Exploits|Fuzzers|Generic|Reconnaissance,post_change,8.0
130,65000,65500,500,6.712907498885834,0.124,0.018,Benign|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,8.0
131,65500,66000,500,5.538982828272903,0.116,0.004,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,post_change,8.0
