window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
92,46000,46500,500,0.0,0.34956646487577253,0.4166282548924471,0.4406581991413988,0.34956646487577253,,,0.87,,0.87,0.0,,1.0,0.13,0.5357779821543983,False,none,0.1311411479412518,0.0,0,0,False,0.3402745331018427,0.0
93,46500,47000,500,0.0,0.25553372275117153,0.29004046062869593,0.41762458838937006,0.25553372275117153,,,0.878,,0.878,0.0,,1.0,0.122,0.5280345312063175,False,none,0.0676267786450809,0.0,0,0,False,0.3402745331018427,0.0
94,47000,47500,500,0.0,0.3437008150725236,0.36147124766614325,0.5039116427399541,0.3437008150725236,,,0.866,,0.866,0.0,,1.0,0.134,0.5333435752291583,False,none,0.15009023683070613,0.0,0,0,False,0.3402745331018427,0.0
95,47500,48000,500,0.0,0.3509295200754073,0.37109306562948946,0.4989149197540139,0.3509295200754073,,,0.888,,0.888,0.0,,1.0,0.112,0.5351836291607929,False,none,0.05606224745006021,0.0,0,0,False,0.3402745331018427,0.0
96,48000,48500,500,0.0,0.2907822041291073,0.33230741540676745,0.44767466918346005,0.2907822041291073,,,0.898,,0.898,0.0,,1.0,0.102,0.5606359161951702,False,none,0.08570162712584976,0.0,0,0,False,0.3402745331018427,0.0
97,48500,49000,500,0.0,0.34885966318714856,0.39559897987317344,0.41946343621111254,0.34885966318714856,,,0.874,,0.874,0.0,,1.0,0.126,0.5472448904798086,False,none,0.06796635837866642,0.0,0,0,False,0.3402745331018427,0.0
98,49000,49500,500,0.0,0.28997789614275954,0.43664600048626306,0.43793416636111326,0.28997789614275954,,,0.876,,0.876,0.0,,1.0,0.124,0.5304152927984713,False,none,0.04036609837537408,0.0,0,0,False,0.3402745331018427,0.0
99,49500,50000,500,0.0,0.2673675530818388,0.32626405970776834,0.39975254248403336,0.2673675530818388,,,0.864,,0.864,0.0,,1.0,0.136,0.5173766268174692,False,none,0.08049056810280744,0.0,0,0,False,0.3402745331018427,0.0
100,50000,50500,500,0.0,0.19534956124302708,0.2359353023909986,0.2870938355645442,0.19534956124302708,,,0.874,,0.874,0.0,,1.0,0.126,0.539540485357138,False,none,0.11487344031773562,0.0,0,0,False,0.3402745331018427,0.0
101,50500,51000,500,0.0,0.22620822777174568,0.3506726750261233,0.3969705272285535,0.22620822777174568,,,0.908,,0.908,0.0,,1.0,0.092,0.5591673002874957,False,none,0.07747927392433496,0.0,0,0,False,0.3402745331018427,0.0
102,51000,51500,500,0.0,0.24838228299114695,0.32443297860905085,0.4854214230864652,0.24838228299114695,,,0.88,,0.88,0.0,,1.0,0.12,0.5414666291033996,False,none,0.06021851599822519,0.0,0,0,False,0.3402745331018427,0.0
103,51500,52000,500,0.0,0.3010952148890746,0.3353935109512913,0.5254975277411726,0.3010952148890746,,,0.878,,0.878,0.0,,1.0,0.122,0.5288914103387469,False,none,0.020142514270693614,0.0,0,0,False,0.3402745331018427,0.0
104,52000,52500,500,0.0,0.34855889003871066,0.4340334462285682,0.5831074542235436,0.34855889003871066,,,0.914,,0.914,0.0,,1.0,0.086,0.5648206189686511,False,none,0.09260548364771862,0.0,0,0,False,0.3402745331018427,0.0
105,52500,53000,500,0.0,0.37144598054275474,0.3863610478359909,0.604686104761911,0.37144598054275474,,,0.908,,0.908,0.0,,1.0,0.092,0.564145898979075,False,none,0.05992215593480567,0.0,0,0,False,0.3402745331018427,0.0
106,53000,53500,500,0.0,0.2943906752563617,0.3081352971296046,0.5499861661455074,0.2943906752563617,,,0.844,,0.844,0.0,,1.0,0.156,0.5005009258469388,False,none,0.10311713657739209,0.0,0,0,False,0.3402745331018427,0.0
107,53500,54000,500,0.0,0.32809926920971483,0.3948377330730272,0.4817719385146391,0.32809926920971483,,,0.864,,0.864,0.0,,1.0,0.136,0.5248619966641715,False,none,0.0429150657105587,0.0,0,0,False,0.3402745331018427,0.0
108,54000,54500,500,0.0,0.315504714040829,0.39517379777211903,0.543960946687341,0.315504714040829,,,0.93,,0.93,0.0,,1.0,0.07,0.5817924287475036,False,none,0.06545911747991223,0.0,0,0,False,0.3402745331018427,0.0
109,54500,55000,500,0.0,0.3880598691866297,0.447861221576425,0.4789202927115439,0.3880598691866297,,,0.922,,0.922,0.0,,1.0,0.078,0.5840466012309506,False,none,0.08236058197313334,0.0,0,0,False,0.3402745331018427,0.0
110,55000,55500,500,0.0,0.2751215068300649,0.3872856031765524,0.4131556261884185,0.33014580819607786,,,0.944,,0.944,0.0,,1.0,0.056,0.6042032437227765,False,none,0.10159104161213671,0.0,0,0,False,0.3402745331018427,0.0
