run_name,scenario,analysis_role,seed,source_dataset,target_dataset,score_scaling_contract,score_scaling_mode,detector,guard_status,selected_parameter,selected_parameter_name,selected_raw_threshold,guard_safe_candidate_count,post_change_detected,trigger_window,detection_delay_windows,trigger_shift_score,trigger_normalized_score,calibration_trigger_count,true_change_window,monitoring_start_window,target_labels_used,one_shot,guard_results_path
E23_UNSW_Reconnaissance_core_profile_gate2_gate3,NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile,prespecified_second_episode_gate4_preflight,53,NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source,NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target,1.0-v021-source-anchored-max-scale,source_anchored_max,page_hinkley,passed,5.0,threshold,,4,True,41,1,0.225670329169163,6.2465925961802,1,40,40,False,True,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed53\guard_results.csv
E23_UNSW_Reconnaissance_core_profile_gate2_gate3,NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile,prespecified_second_episode_gate4_preflight,71,NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source,NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target,1.0-v021-source-anchored-max-scale,source_anchored_max,mad,passed,3.0,multiplier,0.1245680498406105,4,True,47,7,0.6625731516293509,8.0,0,40,40,False,True,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed71\guard_results.csv
E23_UNSW_Reconnaissance_core_profile_gate2_gate3,NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile,prespecified_second_episode_gate4_preflight,71,NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source,NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target,1.0-v021-source-anchored-max-scale,source_anchored_max,adwin,passed,0.1,delta,,5,True,133,93,0.8982044215788159,8.0,0,40,40,False,True,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed71\guard_results.csv
E23_UNSW_Reconnaissance_core_profile_gate2_gate3,NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile,prespecified_second_episode_gate4_preflight,71,NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source,NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target,1.0-v021-source-anchored-max-scale,source_anchored_max,page_hinkley,passed,5.0,threshold,,4,True,41,1,0.2610463953150698,8.0,1,40,40,False,True,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed71\guard_results.csv
E23_UNSW_Reconnaissance_core_profile_gate2_gate3,NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile,prespecified_second_episode_gate4_preflight,83,NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source,NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target,1.0-v021-source-anchored-max-scale,source_anchored_max,mad,passed,3.0,multiplier,0.1430984231395896,4,True,47,7,1.185349639166807,8.0,0,40,40,False,True,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed83\guard_results.csv
E23_UNSW_Reconnaissance_core_profile_gate2_gate3,NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile,prespecified_second_episode_gate4_preflight,83,NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source,NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target,1.0-v021-source-anchored-max-scale,source_anchored_max,adwin,passed,0.1,delta,,5,True,93,53,0.0555615709390176,-0.6926839102082124,0,40,40,False,True,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed83\guard_results.csv
E23_UNSW_Reconnaissance_core_profile_gate2_gate3,NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile,prespecified_second_episode_gate4_preflight,83,NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source,NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target,1.0-v021-source-anchored-max-scale,source_anchored_max,page_hinkley,passed,5.0,threshold,,4,True,41,1,0.2511328183356687,7.557359133448829,1,40,40,False,True,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed83\guard_results.csv
E23_UNSW_Reconnaissance_core_profile_gate2_gate3,NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile,prespecified_second_episode_gate4_preflight,97,NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source,NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target,1.0-v021-source-anchored-max-scale,source_anchored_max,mad,passed,3.0,multiplier,0.1454223910019005,4,True,47,7,0.7952949259964411,8.0,0,40,40,False,True,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed97\guard_results.csv
E23_UNSW_Reconnaissance_core_profile_gate2_gate3,NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile,prespecified_second_episode_gate4_preflight,97,NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source,NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target,1.0-v021-source-anchored-max-scale,source_anchored_max,adwin,passed,0.1,delta,,5,True,132,92,0.4820627951832157,8.0,0,40,40,False,True,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed97\guard_results.csv
E23_UNSW_Reconnaissance_core_profile_gate2_gate3,NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile,prespecified_second_episode_gate4_preflight,97,NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source,NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target,1.0-v021-source-anchored-max-scale,source_anchored_max,page_hinkley,passed,5.0,threshold,,4,True,41,1,0.2620924939657171,7.699049358616544,1,40,40,False,True,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed97\guard_results.csv
