window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,queried_label_counts,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
29,14500,15000,500,0.0,0.9878542510121457,0.16464237516869096,0.976,,0.3292847503373819,,,0.976,,0.9878542510121457,0.0,,1.0,0.024,0.5986554894282485,False,warmup,0.0673537334144014,0.0,0,{},0,False,0.3300804536920476,0.0
30,15000,15500,500,0.0,0.98989898989899,0.16498316498316498,0.98,,0.32996632996632996,,,0.98,,0.98989898989899,0.0,,1.0,0.02,0.5724519507282447,False,none,0.0868020858748593,0.0,0,{},0,False,0.3300804536920476,0.0
31,15500,16000,500,0.0,0.993963782696177,0.16566063044936283,0.988,,0.4969818913480885,,,0.988,,0.993963782696177,0.0,,1.0,0.012,0.5903341958897727,False,none,0.0734292397468868,0.0,0,{},0,False,0.3300804536920476,0.0
32,16000,16500,500,0.0,0.9711934156378601,0.16186556927297668,0.944,,0.32373113854595337,,,0.944,,0.9711934156378601,0.0,,1.0,0.056,0.6083499825459046,False,persistence_pending,0.11612316533547294,0.0,0,{},0,False,0.3300804536920476,0.0
33,16500,17000,500,0.0,0.9785495403472931,0.16309159005788218,0.958,,0.32618318011576436,,,0.958,,0.9785495403472931,0.0,,1.0,0.042,0.627843907371155,False,none,0.06850723507549196,0.0,0,{},0,False,0.3300804536920476,0.0
34,17000,17500,500,0.0,0.9785495403472931,0.16309159005788218,0.958,,0.32618318011576436,,,0.958,,0.9785495403472931,0.0,,1.0,0.042,0.6100908532518856,False,none,0.10599100744117258,0.0,0,{},0,False,0.3300804536920476,0.0
35,17500,18000,500,0.0,0.9959839357429718,0.16599732262382863,0.992,,0.4979919678714859,,,0.992,,0.9959839357429718,0.0,,1.0,0.008,0.6352186226663377,False,none,0.0588147321399102,0.0,0,{},0,False,0.3300804536920476,0.0
36,18000,18500,500,0.0,0.9816700610997964,0.16361167684996605,0.964,,0.3272233536999321,,,0.964,,0.9816700610997964,0.0,,1.0,0.036,0.6073612494980573,False,none,0.09995778316883629,0.0,0,{},0,False,0.3300804536920476,0.0
37,18500,19000,500,0.0,0.9919354838709677,0.16532258064516128,0.984,,0.4959677419354839,,,0.984,,0.9919354838709677,0.0,,1.0,0.016,0.6490308007267016,False,none,0.039267149356165064,0.0,0,{},0,False,0.3300804536920476,0.0
38,19000,19500,500,0.0,0.9929506545820745,0.1654917757636791,0.986,,0.49647532729103727,,,0.986,,0.9929506545820745,0.0,,1.0,0.014,0.6279157109827992,False,none,0.05480378526103889,0.0,0,{},0,False,0.3300804536920476,0.0
39,19500,20000,500,0.0,0.9816700610997964,0.16361167684996605,0.964,,0.4908350305498982,,,0.964,,0.9816700610997964,0.0,,1.0,0.036,0.6217639292343543,False,none,0.03534532859015821,0.0,0,{},0,False,0.3300804536920476,0.0
40,20000,20500,500,0.0,0.4878698017307901,0.4878698017307901,0.5722448165869218,0.41126836614319656,0.4878698017307901,,,0.9,,0.4878698017307901,0.0,,1.0,0.1,0.48631510311062703,False,persistence_pending,0.41797077133298044,0.0,0,{},0,False,0.3300804536920476,0.0
41,20500,21000,500,0.0,0.24606018303086707,0.24606018303086707,0.30822510822510824,0.45884603137665647,0.24606018303086707,,,0.918,,0.24606018303086707,0.0,,1.0,0.082,0.5674752343281099,True,persistent_mean_shift,0.12862688782134538,0.0,50,"{'Benign': 39, 'Exploits': 6, 'Fuzzers': 2, 'Reconnaissance': 1, 'Generic': 1, 'DoS': 1}",50,True,0.3306593973796234,0.0
42,21000,21500,500,0.0,0.4193992591399581,0.34949938261663177,0.39257442780932716,0.5158790802602594,0.34949938261663177,,,0.896,,0.4193992591399581,0.0,,1.0,0.104,0.5390125379025029,False,latched,0.223769103569732,0.0,0,{},50,False,0.3306593973796234,0.0
43,21500,22000,500,0.0,0.40543345543345544,0.33786121286121285,0.5466101694915254,0.5410574009932596,0.40543345543345544,,,0.942,,0.40543345543345544,0.0,,1.0,0.058,0.5683856682438125,False,latched,0.12443022924256587,0.0,0,{},50,False,0.3306593973796234,0.0
44,22000,22500,500,0.0,0.9949748743718593,0.1658291457286432,0.99,,0.49748743718592964,,,0.99,,0.9949748743718593,0.0,,1.0,0.01,0.6220732957221764,False,latched,0.14969080992661984,0.0,0,{},50,False,0.3306593973796234,0.0
45,22500,23000,500,0.0,0.9816700610997964,0.16361167684996605,0.964,,0.3272233536999321,,,0.964,,0.9816700610997964,0.0,,1.0,0.036,0.6303525161331592,False,latched,0.07421703165556862,0.0,0,{},50,False,0.3306593973796234,0.0
46,23000,23500,500,0.0,0.9858012170385395,0.16430020283975658,0.972,,0.49290060851926976,,,0.972,,0.9858012170385395,0.0,,1.0,0.028,0.6359939005367543,False,latched,0.07362428455404108,0.0,0,{},50,False,0.3306593973796234,0.0
47,23500,24000,500,0.0,0.32719836400818,0.16359918200409,0.32388663967611336,0.09084475013292426,0.19631901840490798,,,0.96,,0.32719836400818,0.0,,1.0,0.04,0.626017648352431,False,latched,0.08412166936856777,0.0,0,{},50,False,0.3306593973796234,0.0
48,24000,24500,500,0.0,0.272188995215311,0.272188995215311,0.29189234538071746,0.4515316486892531,0.272188995215311,,,0.93,,0.272188995215311,0.0,,1.0,0.07,0.6027840432678915,False,latched,0.14729385984232876,0.0,0,{},50,False,0.3306593973796234,0.0
49,24500,25000,500,0.0,0.32722249148524385,0.27268540957103654,0.381169837914024,0.4292608873501832,0.27268540957103654,,,0.932,,0.32722249148524385,0.0,,1.0,0.068,0.5979116750790967,False,latched,0.09250358880739583,0.0,0,{},50,False,0.3306593973796234,0.0
50,25000,25500,500,0.0,0.35511158342189164,0.29592631951824305,0.4544915254237288,0.37310027227482395,0.29592631951824305,,,0.928,,0.35511158342189164,0.0,,1.0,0.072,0.5942355222077389,False,latched,0.10405018426667802,0.0,0,{},50,False,0.3306593973796234,0.0
51,25500,26000,500,0.0,0.285003885003885,0.285003885003885,0.2884069830878342,0.42874326720939593,0.285003885003885,,,0.928,,0.285003885003885,0.0,,1.0,0.072,0.6021299525316134,False,latched,0.1130125061106122,0.0,0,{},50,False,0.3306593973796234,0.0
