window,start_row,stop_row,n_rows,shift_score,dominant_shift_feature,dominant_shift_contribution_percent,maximum_absolute_standardized_change,predicted_unknown_rate,novel_prevalence_posthoc,labels_present_posthoc,phase,normalized_shift_score
62,31000,31500,500,0.04917769867642105,pca_component_4,19.61856141884894,0.12321874183857288,0.07,0.006,Benign|DoS|Exploits|Fuzzers|Reconnaissance,post_change,-0.6614136939217429
63,31500,32000,500,0.05418256931424997,pca_component_1,39.29895384351904,0.1921432264725461,0.026,0.012,Benign|Exploits|Fuzzers|Generic|Reconnaissance,post_change,-0.46937499465648586
64,32000,32500,500,0.06117326457261865,pca_component_1,26.009745408408637,0.17648373950586072,0.034,0.01,Benign|DoS|Exploits|Generic|Reconnaissance,post_change,-0.20113948538480558
65,32500,33000,500,0.0504482145724759,pca_component_1,40.611168322439866,0.18186265691178208,0.028,0.052,Backdoor|Benign|Exploits|Fuzzers|Generic|Reconnaissance,post_change,-0.6126635387768646
66,33000,33500,500,0.060278738236519934,pca_component_2,21.20438545830344,0.15701892052698602,0.05,0.024,Benign|DoS|Exploits|Generic|Reconnaissance|Shellcode,post_change,-0.23546278492116132
67,33500,34000,500,0.05429169149913742,pca_component_7,14.458021768785645,0.11677847484379643,0.046,0.046,Benign|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,-0.4651879368955167
68,34000,34500,500,0.052090074874929726,pca_component_5,23.782334826052832,0.14370014800165823,0.032,0.008,Benign|Exploits|Reconnaissance|Shellcode|Worms,post_change,-0.5496647642480449
69,34500,35000,500,0.05063001538119789,pca_component_5,20.086089421660382,0.12836030618934877,0.05,0.012,Benign|Exploits|Generic|Reconnaissance,post_change,-0.6056877758933131
70,35000,35500,500,0.09964470689880994,pca_component_19,14.394107816828248,0.21385607851365915,0.104,0.042,Benign|DoS|Exploits|Fuzzers|Reconnaissance|Shellcode,post_change,1.2750236920085247
71,35500,36000,500,0.12760264057980977,pca_component_20,19.80342050879094,0.32122161077509026,0.11,0.032,Benign|DoS|Exploits|Fuzzers|Reconnaissance|Shellcode,post_change,2.34777973442495
72,36000,36500,500,0.0683765191138095,pca_component_20,13.20339175382388,0.14054802005122435,0.094,0.038,Benign|DoS|Exploits|Fuzzers|Reconnaissance,post_change,0.07525200056315352
73,36500,37000,500,0.053857436132361165,pca_component_5,21.48437307553329,0.14121538256375113,0.042,0.008,Benign|Exploits|Reconnaissance,post_change,-0.4818504726170883
