window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,queried_label_counts,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
105,52500,53000,500,0.55,0.8311688311688312,0.27705627705627706,0.7111111111111111,,0.09696969696969697,0.6405200282124073,0.7232808080808081,0.7111111111111111,0.0,0.0,0.0,1.0,0.4155844155844156,0.24242424242424243,0.022222222222222223,1.0,0.99,0.6767676767676768,0.08616850724936426,False,latched,0.6906566043331935,0.01,0,{},0,False,0.5193428171074622,0.0
106,53000,53500,500,0.622,0.760655737704918,0.253551912568306,0.6137566137566137,,0.07532467532467532,0.6149900706507118,0.5921842835026114,0.6137566137566137,0.0,0.0,0.0,1.0,0.380327868852459,0.18831168831168832,0.047619047619047616,1.0,0.982,0.7637474541751528,0.1693158556504829,False,latched,0.8488673937282677,0.018,0,{},0,False,0.5193428171074622,0.0
107,53500,54000,500,0.62,0.8588588588588588,0.2862862862862863,0.7526315789473684,,0.08895800933125972,0.6600196717521226,0.6835653650254669,0.7526315789473684,0.0,0.0,0.0,1.0,0.4294294294294294,0.2223950233281493,0.042105263157894736,1.0,0.984,0.709349593495935,0.16302266273108276,False,latched,0.9998587416285958,0.016,0,{},0,False,0.5193428171074622,0.0
108,54000,54500,500,0.67,0.8421052631578947,0.2807017543859649,0.7272727272727273,,0.07741935483870968,0.710537851468959,0.6937856173677068,0.7272727272727273,0.0,0.0,0.0,1.0,0.42105263157894735,0.1935483870967742,0.030303030303030304,1.0,0.99,0.7575757575757576,0.16403515586312892,False,latched,1.0229848862773319,0.01,0,{},0,False,0.5193428171074622,0.0
109,54500,55000,500,0.692,0.8015564202334631,0.26718547341115434,0.6688311688311688,,0.06832504145936982,0.5898793136750038,0.41184971098265893,0.6688311688311688,0.0,0.0,0.0,1.0,0.40077821011673154,0.17081260364842454,0.05844155844155844,1.0,0.982,0.790224032586558,0.20085831664774542,False,latched,0.9408486100672395,0.018,0,{},0,False,0.5193428171074622,0.0
110,55000,55500,500,0.6,0.8603988603988604,0.28679962013295346,0.755,,0.09278033794162827,0.6679362083046341,0.6938,0.755,0.0,0.0,0.0,1.0,0.4301994301994302,0.23195084485407066,0.02,1.0,0.992,0.6955645161290323,0.1578654715750623,False,latched,0.7337673600180141,0.008,0,{},0,False,0.5193428171074622,0.0
111,55500,56000,500,0.658,0.7829181494661922,0.2609727164887307,0.6432748538011696,,0.07213114754098361,0.6116819268606272,0.5462770401180256,0.6432748538011696,0.0,0.0,0.0,1.0,0.3914590747330961,0.18032786885245902,0.05847953216374269,1.0,0.98,0.7755102040816326,0.21219292711980967,False,latched,0.6642425242589487,0.02,0,{},0,False,0.5193428171074622,0.0
112,56000,56500,500,0.672,0.6390041493775933,0.21300138312586445,0.4695121951219512,,0.053379549393414216,0.6529059211829678,0.5989946283391406,0.4695121951219512,0.0,0.0,0.0,1.0,0.31950207468879666,0.13344887348353554,0.07926829268292683,1.0,0.974,0.8418891170431212,0.22723741835945782,False,latched,0.7808933439058865,0.026,0,{},0,False,0.5193428171074622,0.0
113,56500,57000,500,0.654,0.7279411764705882,0.2426470588235294,0.5722543352601156,,0.066110183639399,0.6182754516310799,0.5588729207544502,0.5722543352601156,0.0,0.0,0.0,1.0,0.3639705882352941,0.1652754590984975,0.057803468208092484,1.0,0.98,0.7979591836734694,0.18966471108360244,False,latched,0.7718266474617086,0.02,0,{},0,False,0.5193428171074622,0.0
114,57000,57500,500,0.638,0.8434504792332268,0.28115015974440893,0.7292817679558011,,0.08354430379746836,0.6364457280305393,0.5957671591125582,0.7292817679558011,0.0,0.0,0.0,1.0,0.4217252396166134,0.2088607594936709,0.03314917127071823,1.0,0.988,0.7327935222672065,0.16286276772707,False,latched,0.7595708311863983,0.012,0,{},0,False,0.5193428171074622,0.0
