window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
89,44500,45000,500,0.0,0.4745704690031307,0.4745704690031307,0.5594954203871307,0.6667164637846624,0.4745704690031307,,,0.914,,0.4745704690031307,0.0,,1.0,0.086,0.0304410426086509,False,none,0.08063453708168128,0.0,0,0,False,0.5482764939522271,0.0
90,45000,45500,500,0.0,0.4979409854260867,0.4979409854260867,0.5630603794987357,0.6449947783701454,0.4979409854260867,,,0.89,,0.4979409854260867,0.0,,1.0,0.11,0.06059208373484563,False,none,0.15845715206670533,0.0,0,0,False,0.5482764939522271,0.0
91,45500,46000,500,0.0,0.4629009079280763,0.4629009079280763,0.5513312968233716,0.646377972125371,0.4629009079280763,,,0.914,,0.4629009079280763,0.0,,1.0,0.086,0.04803795016300303,False,none,0.059274779884833304,0.0,0,0,False,0.5482764939522271,0.0
92,46000,46500,500,0.0,0.5153333157123933,0.5153333157123933,0.600378787878788,0.6949926770924799,0.5153333157123933,,,0.95,,0.5153333157123933,0.0,,1.0,0.05,0.016906176958892263,False,none,0.05811040434918713,0.0,0,0,False,0.5482764939522271,0.0
93,46500,47000,500,0.0,0.4570241892610314,0.4570241892610314,0.6090969215969216,0.6607984214137591,0.4570241892610314,,,0.942,,0.4570241892610314,0.0,,1.0,0.058,0.020159471379329517,False,none,0.061268132693241155,0.0,0,0,False,0.5482764939522271,0.0
94,47000,47500,500,0.0,0.6110477798920219,0.6110477798920219,0.7051144492131617,0.7210854291954949,0.6110477798920219,,,0.958,,0.6110477798920219,0.0,,1.0,0.042,0.02937737107356216,False,none,0.06917843531100798,0.0,0,0,False,0.5482764939522271,0.0
95,47500,48000,500,0.0,0.4312223510093692,0.4312223510093692,0.5488750924756288,0.6063867742402783,0.4312223510093692,,,0.89,,0.4312223510093692,0.0,,1.0,0.11,0.055441301401804616,False,none,0.10562609027936136,0.0,0,0,False,0.5482764939522271,0.0
96,48000,48500,500,0.0,0.5179931969564617,0.43166099746371817,0.6465601579864985,0.5652652089344758,0.43166099746371817,,,0.886,,0.5179931969564617,0.0,,1.0,0.114,0.07173644058024878,False,none,0.10573882915241513,0.0,0,0,False,0.5482764939522271,0.0
97,48500,49000,500,0.0,0.6506939000212544,0.5422449166843787,0.7774610060944117,0.6624354587542012,0.5422449166843787,,,0.926,,0.6506939000212544,0.0,,1.0,0.074,0.05603547035319247,False,none,0.12388648499656477,0.0,0,0,False,0.5482764939522271,0.0
98,49000,49500,500,0.0,0.5996997757700283,0.5996997757700283,0.6696682946682947,0.6548545372751968,0.5996997757700283,,,0.936,,0.5996997757700283,0.0,,1.0,0.064,0.04609391766646996,False,none,0.08992604297235259,0.0,0,0,False,0.5482764939522271,0.0
99,49500,50000,500,0.0,0.504750835421888,0.504750835421888,0.6612393212711122,0.6311017839593092,0.504750835421888,,,0.912,,0.504750835421888,0.0,,1.0,0.088,0.034093434674526274,False,none,0.08970838729868268,0.0,0,0,False,0.5482764939522271,0.0
100,50000,50500,500,0.0,0.5349272751187562,0.5349272751187562,0.5584916717269658,0.6878573193237784,0.5349272751187562,,,0.916,,0.5349272751187562,0.0,,1.0,0.084,0.02778513971472381,False,none,0.11441036604944074,0.0,0,0,False,0.5482764939522271,0.0
101,50500,51000,500,0.0,0.646622318395458,0.5388519319962151,0.698836208380677,0.6950629496507801,0.5388519319962151,,,0.948,,0.646622318395458,0.0,,1.0,0.052,0.01659333250923245,False,none,0.12176735190141008,0.0,0,0,False,0.5482764939522271,0.0
102,51000,51500,500,0.0,0.6553043526676967,0.5460869605564139,0.7396979574098219,0.6847800105215767,0.5460869605564139,,,0.958,,0.6553043526676967,0.0,,1.0,0.042,0.019904053229489814,False,none,0.06765993786421051,0.0,0,0,False,0.5482764939522271,0.0
103,51500,52000,500,0.0,0.5145683068216188,0.5145683068216188,0.6007743677181018,0.622100754404259,0.5145683068216188,,,0.93,,0.5145683068216188,0.0,,1.0,0.07,0.03263624528020708,False,none,0.07203124375636628,0.0,0,0,False,0.5482764939522271,0.0
104,52000,52500,500,0.0,0.6806694064004005,0.6806694064004005,0.8607048748353097,0.6494425147919433,0.6806694064004005,,,0.922,,0.6806694064004005,0.0,,1.0,0.078,0.05368417852269547,False,none,0.08004743435543912,0.0,0,0,False,0.5482764939522271,0.0
105,52500,53000,500,0.0,0.756309165342175,0.756309165342175,0.8372710291636539,0.7635324220872909,0.756309165342175,,,0.956,,0.756309165342175,0.0,,1.0,0.044,0.03429402201497158,False,none,0.07171048526669152,0.0,0,0,False,0.5482764939522271,0.0
106,53000,53500,500,0.0,0.5365079365079366,0.44708994708994715,0.6194444444444445,0.7438454139315853,0.44708994708994715,,,0.978,,0.5365079365079366,0.0,,1.0,0.022,0.008885732307873402,False,none,0.08766697644101924,0.0,0,0,False,0.5482764939522271,0.0
107,53500,54000,500,0.0,0.48253968253968255,0.48253968253968255,0.6363636363636364,0.701589869768902,0.48253968253968255,,,0.956,,0.48253968253968255,0.0,,1.0,0.044,0.012635390046234301,False,none,0.0858074838548775,0.0,0,0,False,0.5482764939522271,0.0
108,54000,54500,500,0.0,0.5220740740740741,0.43506172839506174,0.7856060606060605,0.7417945911465561,0.43506172839506174,,,0.952,,0.5220740740740741,0.0,,1.0,0.048,0.011086902944540372,False,none,0.07632578684560759,0.0,0,0,False,0.5482764939522271,0.0
109,54500,55000,500,0.0,0.5378978406035904,0.5378978406035904,0.5191281833668505,0.7998248501301244,0.5378978406035904,,,0.958,,0.5378978406035904,0.0,,1.0,0.042,0.010213544639827505,False,none,0.06177001504833875,0.0,0,0,False,0.5482764939522271,0.0
110,55000,55500,500,0.0,0.48745948243796167,0.48745948243796167,0.49797979797979797,0.7539763992228042,0.48745948243796167,,,0.96,,0.48745948243796167,0.0,,1.0,0.04,0.007977933773013732,False,none,0.06462694122290648,0.0,0,0,False,0.5482764939522271,0.0
111,55500,56000,500,0.0,0.42216117216117216,0.42216117216117216,0.43827639751552794,0.6898690093122585,0.42216117216117216,,,0.924,,0.42216117216117216,0.0,,1.0,0.076,0.024108010414013593,False,none,0.06503195356360247,0.0,0,0,False,0.5482764939522271,0.0
112,56000,56500,500,0.0,0.33620808643297395,0.33620808643297395,0.4444444444444444,0.5890423957086568,0.33620808643297395,,,0.894,,0.33620808643297395,0.0,,1.0,0.106,0.042975257246922166,False,none,0.06719344061905254,0.0,0,0,False,0.5482764939522271,0.0
