condition,condition_code,seed,method,selection_strategy,update_rule,budget,labels_queried,queried_label_totals,query_hash,selected_mad_multiplier,global_known_macro_f1,global_novel_auprc,global_novel_auroc,global_novel_exact_recall,global_novel_rejection_rate,global_novel_harmful_acceptance_rate,global_acquisition_macro_f1,evaluation_mean_acquisition_macro_f1,primary_normalized_recovery_area,safety_normalized_recovery_area,recovery_time_evaluation_blocks,mean_source_forgetting,fit_seconds,prediction_seconds,update_seconds,summary_path
ud_anchored_B200,UA200,53,cse_dos_ud_source_anchored_B200,uncertainty_diversity,source_anchored,200,200,"{'DoS': 172, 'Benign': 28}",b6dfb8f489338a5b5e51a79acb0d459533909f259c140cb4a02a87973ddd4ac3,4.0,0.8664612628099974,0.13750334894988242,0.12689305019490682,0.8302108616504854,0.03951759708737864,0.13027154126213591,0.8200016136401146,0.8292719077802033,0.8786105229368468,0.9120187332907547,1.0,0.012717353459992076,2.1398618000093848,1.021346299443394,0.00359590002335608,C:\Users\ASUS\raids-nids\results\runs\R19_DoS_s053_UA200__NF-CICIDS2018-v3-DoS-Historical-Pilot-to-NF-CICIDS2018-v3-DoS-Emergence-Pilot__dos_goldeneye_first_family_emergence__cse_dos_ud_source_anchored_B200__seed53\summary.json
random_naive_B050,RN50,71,cse_dos_random_naive_replay_B050,random_nested,naive_replay,50,50,"{'DoS': 49, 'Benign': 1}",fe930d3703039853db50269fbcef425d4131520eec7ebf6365294cbed00f034f,3.0,0.8476983379791155,0.1374935246294734,0.1304908099667921,0.8436362257281553,0.037469660194174755,0.11889411407766991,0.8006520122797581,0.8137647850640173,0.8729568845245477,0.9021813884751363,1.0,0.015110009448348524,2.179266999999527,0.9923174001742154,0.005066399986390024,C:\Users\ASUS\raids-nids\results\runs\R19_DoS_s071_RN50__NF-CICIDS2018-v3-DoS-Historical-Pilot-to-NF-CICIDS2018-v3-DoS-Emergence-Pilot__dos_goldeneye_first_family_emergence__cse_dos_random_naive_replay_B050__seed71\summary.json
random_anchored_B050,RA50,71,cse_dos_random_source_anchored_B050,random_nested,source_anchored,50,50,"{'DoS': 49, 'Benign': 1}",fe930d3703039853db50269fbcef425d4131520eec7ebf6365294cbed00f034f,3.0,0.8467403219647982,0.13750286054033545,0.13058316488398705,0.8436362257281553,0.037469660194174755,0.11889411407766991,0.8000032017512382,0.8129847250272677,0.8724892697043138,0.9018635136087187,1.0,0.018415697829041913,2.151084700017236,0.9885004992829636,0.003722499997820705,C:\Users\ASUS\raids-nids\results\runs\R19_DoS_s071_RA50__NF-CICIDS2018-v3-DoS-Historical-Pilot-to-NF-CICIDS2018-v3-DoS-Emergence-Pilot__dos_goldeneye_first_family_emergence__cse_dos_random_source_anchored_B050__seed71\summary.json
ud_naive_B050,UN50,71,cse_dos_ud_naive_replay_B050,uncertainty_diversity,naive_replay,50,50,"{'Benign': 27, 'DoS': 23}",fefe1e5057344b4363f014341ee920674958b0d92300ed8198417c42eabaa7c2,3.0,0.8480740130162518,0.15042723700634458,0.2673765476567218,0.02017597087378641,0.026850728155339804,0.9529733009708737,0.3938009371769119,0.5887400746229273,0.368050499355235,0.5081226009697611,,0.02876184485161744,2.217854599992279,0.9856031999806874,0.0034592999727465212,C:\Users\ASUS\raids-nids\results\runs\R19_DoS_s071_UN50__NF-CICIDS2018-v3-DoS-Historical-Pilot-to-NF-CICIDS2018-v3-DoS-Emergence-Pilot__dos_goldeneye_first_family_emergence__cse_dos_ud_naive_replay_B050__seed71\summary.json
ud_anchored_B050,UA50,71,cse_dos_ud_source_anchored_B050,uncertainty_diversity,source_anchored,50,50,"{'Benign': 27, 'DoS': 23}",fefe1e5057344b4363f014341ee920674958b0d92300ed8198417c42eabaa7c2,3.0,0.8494116924211238,0.1504819157832199,0.267402863141605,0.02017597087378641,0.026850728155339804,0.9529733009708737,0.39428889532394623,0.5895342038383239,0.36860094855544157,0.5091614727085385,,0.022130644645244734,2.249890700040851,0.9901749998680316,0.004745299986097962,C:\Users\ASUS\raids-nids\results\runs\R19_DoS_s071_UA50__NF-CICIDS2018-v3-DoS-Historical-Pilot-to-NF-CICIDS2018-v3-DoS-Emergence-Pilot__dos_goldeneye_first_family_emergence__cse_dos_ud_source_anchored_B050__seed71\summary.json
random_naive_B200,RN200,71,cse_dos_random_naive_replay_B200,random_nested,naive_replay,200,200,"{'DoS': 188, 'Benign': 12}",0085c5acf825a08bf3f952713087b9de27db7afa2c727b3a9ce395077178ae24,3.0,0.8438995178387322,0.1374089905565198,0.13463936899840068,0.8441671723300971,0.03693871359223301,0.11889411407766991,0.7964052940133249,0.8104505422005603,0.8706829577346825,0.9007375599774433,1.0,0.02186158781860718,2.2177736000157893,0.9949924999382347,0.00396030000410974,C:\Users\ASUS\raids-nids\results\runs\R19_DoS_s071_RN200__NF-CICIDS2018-v3-DoS-Historical-Pilot-to-NF-CICIDS2018-v3-DoS-Emergence-Pilot__dos_goldeneye_first_family_emergence__cse_dos_random_naive_replay_B200__seed71\summary.json
random_anchored_B200,RA200,71,cse_dos_random_source_anchored_B200,random_nested,source_anchored,200,200,"{'DoS': 188, 'Benign': 12}",0085c5acf825a08bf3f952713087b9de27db7afa2c727b3a9ce395077178ae24,3.0,0.8443561276945009,0.13745589993230636,0.13481482487122173,0.8441671723300971,0.03693871359223301,0.11889411407766991,0.7968939777714381,0.8108443549328354,0.8709610299732651,0.9009322901163138,1.0,0.02011310239941799,2.1784604999702424,0.9817405002540909,0.005048900027759373,C:\Users\ASUS\raids-nids\results\runs\R19_DoS_s071_RA200__NF-CICIDS2018-v3-DoS-Historical-Pilot-to-NF-CICIDS2018-v3-DoS-Emergence-Pilot__dos_goldeneye_first_family_emergence__cse_dos_random_source_anchored_B200__seed71\summary.json
ud_naive_B200,UN200,71,cse_dos_ud_naive_replay_B200,uncertainty_diversity,naive_replay,200,200,"{'DoS': 172, 'Benign': 28}",f6295703a02a628bd6e9fa3fcf1762d67983ceffe80c656b0c655cb1bcc3deeb,3.0,0.8467474242358926,0.1373664849481145,0.13333504849106645,0.8355203276699029,0.037090412621359224,0.12738925970873785,0.7963439695094048,0.8118642051419794,0.8716967272866104,0.901783843113961,1.0,0.014584014478489641,2.197698100004345,1.0177756006014533,0.005390000005718321,C:\Users\ASUS\raids-nids\results\runs\R19_DoS_s071_UN200__NF-CICIDS2018-v3-DoS-Historical-Pilot-to-NF-CICIDS2018-v3-DoS-Emergence-Pilot__dos_goldeneye_first_family_emergence__cse_dos_ud_naive_replay_B200__seed71\summary.json
ud_anchored_B200,UA200,71,cse_dos_ud_source_anchored_B200,uncertainty_diversity,source_anchored,200,200,"{'DoS': 172, 'Benign': 28}",f6295703a02a628bd6e9fa3fcf1762d67983ceffe80c656b0c655cb1bcc3deeb,3.0,0.8450688589701683,0.13739459012347466,0.13367017742642753,0.8355203276699029,0.037090412621359224,0.12738925970873785,0.7953121420978814,0.8105570070495601,0.8708694858169933,0.9012030162152106,1.0,0.020726737866527935,2.1710545999812894,0.9882635995745659,0.004620099964085966,C:\Users\ASUS\raids-nids\results\runs\R19_DoS_s071_UA200__NF-CICIDS2018-v3-DoS-Historical-Pilot-to-NF-CICIDS2018-v3-DoS-Emergence-Pilot__dos_goldeneye_first_family_emergence__cse_dos_ud_source_anchored_B200__seed71\summary.json
random_naive_B050,RN50,83,cse_dos_random_naive_replay_B050,random_nested,naive_replay,50,50,"{'DoS': 49, 'Benign': 1}",fe930d3703039853db50269fbcef425d4131520eec7ebf6365294cbed00f034f,3.0,0.833187947062782,0.1404792921939372,0.12984574723877698,0.8415124393203883,0.038910800970873786,0.11957675970873786,0.789308877080326,0.8018492749159662,0.8714099182100341,0.9021873078452405,1.0,0.017268151156497564,2.0821753999916837,1.0417995996540412,0.004846900003030896,C:\Users\ASUS\raids-nids\results\runs\R19_DoS_s083_RN50__NF-CICIDS2018-v3-DoS-Historical-Pilot-to-NF-CICIDS2018-v3-DoS-Emergence-Pilot__dos_goldeneye_first_family_emergence__cse_dos_random_naive_replay_B050__seed83\summary.json
