metric,higher_is_better,analysis_family,contrast,contrast_definition,n_seeds,mean_difference,std_difference,paired_dz,median_difference,minimum_difference,maximum_difference,positive_seed_count,negative_seed_count,zero_seed_count,bootstrap_95_low,bootstrap_95_high,exact_sign_flip_p_raw,wilcoxon_p_raw,holm_p_within_metric_family,holm_p_within_metric_all,holm_p_across_all_tests
Novel exact recall,True,factorial_effects,Selection x update,Anchoring effect under random − anchoring effect under UD,10,-4.930218446601766e-05,0.0001639024373823111,-0.30080202133307943,0.0,-0.00030339805825245134,0.0002654733009708754,1,4,5,-0.00014411407766990041,4.5509708737865096e-05,0.3125,0.3125,0.625,0.76171875,1.0
Novel exact recall,True,factorial_effects,Update main: anchored minus naive,Mean(source-anchored) minus mean(naive replay),10,2.4651092233018977e-05,8.195121869116606e-05,0.3008020213331647,0.0,-0.00013273665048540995,0.00015169902912637312,4,1,5,-2.2754854368933764e-05,7.205703883497172e-05,0.3125,0.3125,0.625,0.76171875,1.0
Novel exact recall,True,simple_effects,At B200: random minus UD,"Random minus UD at budget 200, averaged across update rules",10,0.007634253640776689,0.006459443355647171,1.181874849030519,0.009500151699029069,0.00015169902912615107,0.01653519417475735,10,0,0,0.003822720722087348,0.011381219660194185,0.001953125,0.001953125,0.0078125,0.029296875,0.1171875
Novel exact recall,True,simple_effects,At B50: random minus UD,"Random minus UD at budget 50, averaged across update rules",10,0.8257433252427184,0.00497410015637081,166.00858432356037,0.8270631067961165,0.8166337985436893,0.8323346480582525,10,0,0,0.822679004854369,0.8284966626213593,0.001953125,0.001953125,0.0078125,0.029296875,0.1171875
Novel exact recall,True,simple_effects,Within UD: B200 minus B50,Budget 200 minus budget 50 under uncertainty-diversity querying,10,0.8182456007281553,0.006157354242635336,132.88915473830977,0.8157236043689321,0.8111726334951456,0.831879550970874,10,0,0,0.8149878640776699,0.8221518507281556,0.001953125,0.001953125,0.0078125,0.029296875,0.1171875
Novel exact recall,True,simple_effects,Within random: B200 minus B50,Budget 200 minus budget 50 under random nested querying,10,0.00013652912621359148,0.00033503779881627614,0.40750365091927915,0.00022754854368933763,-0.0005309466019417508,0.0005309466019417508,8,2,0,-7.584951456309774e-05,0.00031098300970874295,0.25390625,0.306640625,0.25390625,0.76171875,1.0
Novel exact recall,True,static_comparisons,Random B200 minus static,Random B200 marginal mean minus matched static baseline,10,0.8431583737864077,0.0014493455406978805,581.7511077312971,0.8433328276699029,0.8410573422330098,0.8450773665048543,10,0,0,0.8422936893203884,0.8440078883495146,0.001953125,0.001953125,0.0078125,0.029296875,0.1171875
Novel exact recall,True,static_comparisons,Random B50 minus static,Random B50 marginal mean minus matched static baseline,10,0.8430218446601941,0.0012794633820555328,658.8870431804232,0.8431052791262136,0.8409814927184466,0.8448498179611651,10,0,0,0.842263349514563,0.8437651699029127,0.001953125,0.001953125,0.0078125,0.029296875,0.1171875
Novel exact recall,True,static_comparisons,UD B200 minus static,UD B200 marginal mean minus matched static baseline,10,0.835524120145631,0.007257469316216953,115.12609750600483,0.8337757888349515,0.8245979975728155,0.8446981189320388,10,0,0,0.8313106796116505,0.8397982402912622,0.001953125,0.001953125,0.0078125,0.029296875,0.1171875
Novel exact recall,True,static_comparisons,UD B50 minus static,UD B50 marginal mean minus matched static baseline,10,0.017278519417475685,0.006179116083101019,2.7962768760292294,0.016042172330097047,0.0086468446601941,0.028216019417475702,10,0,0,0.013797026699029092,0.02102548543689315,0.001953125,0.001953125,0.0078125,0.029296875,0.1171875
