metric,analysis_family,contrast,seed,difference
Recovery area,static_comparisons,UD B200 minus static,11,0.5052202072796407
Recovery area,static_comparisons,UD B200 minus static,23,0.4732109880004456
Recovery area,static_comparisons,UD B200 minus static,37,0.4710545358284762
Recovery area,static_comparisons,UD B200 minus static,53,0.5063921198214814
Recovery area,static_comparisons,UD B200 minus static,71,0.49244193998246494
Recovery area,static_comparisons,UD B200 minus static,83,0.48223516961929624
Recovery area,static_comparisons,UD B200 minus static,97,0.4977471790174108
Recovery area,static_comparisons,UD B200 minus static,109,0.48620251039422946
Recovery area,static_comparisons,UD B200 minus static,127,0.4941123558839634
Recovery area,static_comparisons,UD B200 minus static,149,0.5040565296612636
Global acquisition macro-F1,factorial_effects,Selection main: random minus UD,11,0.21160063086312775
Global acquisition macro-F1,factorial_effects,Selection main: random minus UD,23,0.19583106453965682
Global acquisition macro-F1,factorial_effects,Selection main: random minus UD,37,0.19716151253143155
Global acquisition macro-F1,factorial_effects,Selection main: random minus UD,53,0.22148629070616144
Global acquisition macro-F1,factorial_effects,Selection main: random minus UD,71,0.20355213542690365
Global acquisition macro-F1,factorial_effects,Selection main: random minus UD,83,0.20007624620190356
Global acquisition macro-F1,factorial_effects,Selection main: random minus UD,97,0.20298296894719692
Global acquisition macro-F1,factorial_effects,Selection main: random minus UD,109,0.1940918929850639
Global acquisition macro-F1,factorial_effects,Selection main: random minus UD,127,0.1970431866685528
Global acquisition macro-F1,factorial_effects,Selection main: random minus UD,149,0.2118670234311455
Global acquisition macro-F1,factorial_effects,Budget main: B200 minus B50,11,0.20016512853673252
Global acquisition macro-F1,factorial_effects,Budget main: B200 minus B50,23,0.19421108201788762
Global acquisition macro-F1,factorial_effects,Budget main: B200 minus B50,37,0.19337916523495413
Global acquisition macro-F1,factorial_effects,Budget main: B200 minus B50,53,0.20997723901217713
Global acquisition macro-F1,factorial_effects,Budget main: B200 minus B50,71,0.1990525842150489
Global acquisition macro-F1,factorial_effects,Budget main: B200 minus B50,83,0.19393591740421312
Global acquisition macro-F1,factorial_effects,Budget main: B200 minus B50,97,0.19551251027469552
Global acquisition macro-F1,factorial_effects,Budget main: B200 minus B50,109,0.19433074296129726
Global acquisition macro-F1,factorial_effects,Budget main: B200 minus B50,127,0.19713717296430688
Global acquisition macro-F1,factorial_effects,Budget main: B200 minus B50,149,0.1960660885246297
Global acquisition macro-F1,factorial_effects,Update main: anchored minus naive,11,-0.001012893233219403
Global acquisition macro-F1,factorial_effects,Update main: anchored minus naive,23,-0.00019388654587670917
Global acquisition macro-F1,factorial_effects,Update main: anchored minus naive,37,-0.0006159606041615806
Global acquisition macro-F1,factorial_effects,Update main: anchored minus naive,53,-0.0011543583710327265
Global acquisition macro-F1,factorial_effects,Update main: anchored minus naive,71,-0.00017599900872411478
Global acquisition macro-F1,factorial_effects,Update main: anchored minus naive,83,-0.00025777153088302196
Global acquisition macro-F1,factorial_effects,Update main: anchored minus naive,97,0.00013350416196522552
Global acquisition macro-F1,factorial_effects,Update main: anchored minus naive,109,-3.9384600808212156e-05
Global acquisition macro-F1,factorial_effects,Update main: anchored minus naive,127,-0.00033269034341987247
Global acquisition macro-F1,factorial_effects,Update main: anchored minus naive,149,-0.00033767465198608626
Global acquisition macro-F1,factorial_effects,Selection x budget,11,-0.422785628882112
Global acquisition macro-F1,factorial_effects,Selection x budget,23,-0.3872959727059046
Global acquisition macro-F1,factorial_effects,Selection x budget,37,-0.3904279192798056
Global acquisition macro-F1,factorial_effects,Selection x budget,53,-0.4304661698868536
Global acquisition macro-F1,factorial_effects,Selection x budget,71,-0.4054611106763305
Global acquisition macro-F1,factorial_effects,Selection x budget,83,-0.3908741063946415
Global acquisition macro-F1,factorial_effects,Selection x budget,97,-0.39896725859879534
Global acquisition macro-F1,factorial_effects,Selection x budget,109,-0.3912338505079437
Global acquisition macro-F1,factorial_effects,Selection x budget,127,-0.39830574418449255
Global acquisition macro-F1,factorial_effects,Selection x budget,149,-0.4216455525092867
Global acquisition macro-F1,factorial_effects,Selection x update,11,0.0011683899236381856
Global acquisition macro-F1,factorial_effects,Selection x update,23,-0.0005429674413149344
Global acquisition macro-F1,factorial_effects,Selection x update,37,0.0007462654727228291
Global acquisition macro-F1,factorial_effects,Selection x update,53,0.0016852714097499721
Global acquisition macro-F1,factorial_effects,Selection x update,71,0.00019187124704117542
Global acquisition macro-F1,factorial_effects,Selection x update,83,-0.0004696508929647736
Global acquisition macro-F1,factorial_effects,Selection x update,97,0.0002088436685632744
Global acquisition macro-F1,factorial_effects,Selection x update,109,-0.0005547787365923207
Global acquisition macro-F1,factorial_effects,Selection x update,127,0.0004068781655158782
Global acquisition macro-F1,factorial_effects,Selection x update,149,-0.0008959991212250107
Global acquisition macro-F1,factorial_effects,Budget x update,11,-0.0014223665592888735
Global acquisition macro-F1,factorial_effects,Budget x update,23,-0.0013450931333756633
Global acquisition macro-F1,factorial_effects,Budget x update,37,-0.0010890756237844634
Global acquisition macro-F1,factorial_effects,Budget x update,53,-0.0025138596178476413
Global acquisition macro-F1,factorial_effects,Budget x update,71,-0.0001911456359622865
Global acquisition macro-F1,factorial_effects,Budget x update,83,0.00035265040201318265
Global acquisition macro-F1,factorial_effects,Budget x update,97,0.0007342775488839437
Global acquisition macro-F1,factorial_effects,Budget x update,109,-0.00030632667828750515
Global acquisition macro-F1,factorial_effects,Budget x update,127,-0.0007739459244431313
Global acquisition macro-F1,factorial_effects,Budget x update,149,-0.0002458925155695568
Global acquisition macro-F1,factorial_effects,Selection x budget x update,11,0.0024311135787709603
Global acquisition macro-F1,factorial_effects,Selection x budget x update,23,0.0006902154197366839
Global acquisition macro-F1,factorial_effects,Selection x budget x update,37,0.002297040370258019
Global acquisition macro-F1,factorial_effects,Selection x budget x update,53,0.003508972046207315
Global acquisition macro-F1,factorial_effects,Selection x budget x update,71,0.0026572798451908186
Global acquisition macro-F1,factorial_effects,Selection x budget x update,83,9.978087224266075e-05
Global acquisition macro-F1,factorial_effects,Selection x budget x update,97,-0.0004905388015964407
Global acquisition macro-F1,factorial_effects,Selection x budget x update,109,0.0007629952264108786
Global acquisition macro-F1,factorial_effects,Selection x budget x update,127,0.002367090339088662
Global acquisition macro-F1,factorial_effects,Selection x budget x update,149,-0.001501597766135121
Global acquisition macro-F1,simple_effects,At B50: random minus UD,11,0.4229934453041838
Global acquisition macro-F1,simple_effects,At B50: random minus UD,23,0.3894790508926091
Global acquisition macro-F1,simple_effects,At B50: random minus UD,37,0.3923754721713343
Global acquisition macro-F1,simple_effects,At B50: random minus UD,53,0.4367193756495883
Global acquisition macro-F1,simple_effects,At B50: random minus UD,71,0.40628269076506907
Global acquisition macro-F1,simple_effects,At B50: random minus UD,83,0.3955132993992243
Global acquisition macro-F1,simple_effects,At B50: random minus UD,97,0.4024665982465947
Global acquisition macro-F1,simple_effects,At B50: random minus UD,109,0.3897088182390358
Global acquisition macro-F1,simple_effects,At B50: random minus UD,127,0.39619605876079905
Global acquisition macro-F1,simple_effects,At B50: random minus UD,149,0.4226897996857889
Global acquisition macro-F1,simple_effects,At B200: random minus UD,11,0.00020781642207179374
Global acquisition macro-F1,simple_effects,At B200: random minus UD,23,0.00218307818670449
Global acquisition macro-F1,simple_effects,At B200: random minus UD,37,0.0019475528915287033
Global acquisition macro-F1,simple_effects,At B200: random minus UD,53,0.006253205762734693
Global acquisition macro-F1,simple_effects,At B200: random minus UD,71,0.0008215800887385605
Global acquisition macro-F1,simple_effects,At B200: random minus UD,83,0.00463919300458282
Global acquisition macro-F1,simple_effects,At B200: random minus UD,97,0.00349933964779936
Global acquisition macro-F1,simple_effects,At B200: random minus UD,109,-0.0015250322689078777
Global acquisition macro-F1,simple_effects,At B200: random minus UD,127,-0.002109685423693497
Global acquisition macro-F1,simple_effects,At B200: random minus UD,149,0.0010442471765022
Global acquisition macro-F1,simple_effects,Within UD: B200 minus B50,11,0.4115579429777886
Global acquisition macro-F1,simple_effects,Within UD: B200 minus B50,23,0.3878590683708399
Global acquisition macro-F1,simple_effects,Within UD: B200 minus B50,37,0.38859312487485675
Global acquisition macro-F1,simple_effects,Within UD: B200 minus B50,53,0.425210323955604
Global acquisition macro-F1,simple_effects,Within UD: B200 minus B50,71,0.401783139553214
Global acquisition macro-F1,simple_effects,Within UD: B200 minus B50,83,0.38937297060153386
Global acquisition macro-F1,simple_effects,Within UD: B200 minus B50,97,0.3949961395740933
Global acquisition macro-F1,simple_effects,Within UD: B200 minus B50,109,0.38994766821526905
Global acquisition macro-F1,simple_effects,Within UD: B200 minus B50,127,0.39629004505655313
Global acquisition macro-F1,simple_effects,Within UD: B200 minus B50,149,0.4068888647792731
Global acquisition macro-F1,simple_effects,Within random: B200 minus B50,11,-0.011227685904323437
Global acquisition macro-F1,simple_effects,Within random: B200 minus B50,23,0.000563095664935287
Global acquisition macro-F1,simple_effects,Within random: B200 minus B50,37,-0.0018347944049488252
Global acquisition macro-F1,simple_effects,Within random: B200 minus B50,53,-0.005255845931249614
Global acquisition macro-F1,simple_effects,Within random: B200 minus B50,71,-0.003677971123116519
Global acquisition macro-F1,simple_effects,Within random: B200 minus B50,83,-0.001501135793107622
Global acquisition macro-F1,simple_effects,Within random: B200 minus B50,97,-0.003971119024702041
Global acquisition macro-F1,simple_effects,Within random: B200 minus B50,109,-0.0012861822926746314
Global acquisition macro-F1,simple_effects,Within random: B200 minus B50,127,-0.0020156991279394187
Global acquisition macro-F1,simple_effects,Within random: B200 minus B50,149,-0.014756687730013596
Global acquisition macro-F1,static_comparisons,Random B50 minus static,11,0.4177975718754638
Global acquisition macro-F1,static_comparisons,Random B50 minus static,23,0.38055475851635023
Global acquisition macro-F1,static_comparisons,Random B50 minus static,37,0.38299299958790944
Global acquisition macro-F1,static_comparisons,Random B50 minus static,53,0.43111083050808335
Global acquisition macro-F1,static_comparisons,Random B50 minus static,71,0.3995980162322734
Global acquisition macro-F1,static_comparisons,Random B50 minus static,83,0.38897382095670896
Global acquisition macro-F1,static_comparisons,Random B50 minus static,97,0.400479419828245
Global acquisition macro-F1,static_comparisons,Random B50 minus static,109,0.3878978517441349
Global acquisition macro-F1,static_comparisons,Random B50 minus static,127,0.39295587384149344
Global acquisition macro-F1,static_comparisons,Random B50 minus static,149,0.4207936303345318
Global acquisition macro-F1,static_comparisons,UD B50 minus static,11,-0.0051958734287200214
Global acquisition macro-F1,static_comparisons,UD B50 minus static,23,-0.008924292376258858
Global acquisition macro-F1,static_comparisons,UD B50 minus static,37,-0.009382472583424839
Global acquisition macro-F1,static_comparisons,UD B50 minus static,53,-0.005608545141504939
Global acquisition macro-F1,static_comparisons,UD B50 minus static,71,-0.0066846745327956425
Global acquisition macro-F1,static_comparisons,UD B50 minus static,83,-0.006539478442515345
Global acquisition macro-F1,static_comparisons,UD B50 minus static,97,-0.001987178418349722
Global acquisition macro-F1,static_comparisons,UD B50 minus static,109,-0.001810966494900923
Global acquisition macro-F1,static_comparisons,UD B50 minus static,127,-0.003240184919305611
Global acquisition macro-F1,static_comparisons,UD B50 minus static,149,-0.001896169351257082
Global acquisition macro-F1,static_comparisons,Random B200 minus static,11,0.40656988597114035
Global acquisition macro-F1,static_comparisons,Random B200 minus static,23,0.3811178541812855
Global acquisition macro-F1,static_comparisons,Random B200 minus static,37,0.3811582051829606
Global acquisition macro-F1,static_comparisons,Random B200 minus static,53,0.42585498457683374
Global acquisition macro-F1,static_comparisons,Random B200 minus static,71,0.3959200451091569
Global acquisition macro-F1,static_comparisons,Random B200 minus static,83,0.38747268516360134
Global acquisition macro-F1,static_comparisons,Random B200 minus static,97,0.39650830080354293
Global acquisition macro-F1,static_comparisons,Random B200 minus static,109,0.38661166945146025
Global acquisition macro-F1,static_comparisons,Random B200 minus static,127,0.390940174713554
Global acquisition macro-F1,static_comparisons,Random B200 minus static,149,0.4060369426045182
Global acquisition macro-F1,static_comparisons,UD B200 minus static,11,0.40636206954906856
Global acquisition macro-F1,static_comparisons,UD B200 minus static,23,0.37893477599458103
Global acquisition macro-F1,static_comparisons,UD B200 minus static,37,0.3792106522914319
Global acquisition macro-F1,static_comparisons,UD B200 minus static,53,0.41960177881409905
Global acquisition macro-F1,static_comparisons,UD B200 minus static,71,0.39509846502041834
Global acquisition macro-F1,static_comparisons,UD B200 minus static,83,0.3828334921590185
Global acquisition macro-F1,static_comparisons,UD B200 minus static,97,0.3930089611557436
Global acquisition macro-F1,static_comparisons,UD B200 minus static,109,0.3881367017203681
Global acquisition macro-F1,static_comparisons,UD B200 minus static,127,0.3930498601372475
Global acquisition macro-F1,static_comparisons,UD B200 minus static,149,0.404992695428016
Novel exact recall,factorial_effects,Selection main: random minus UD,11,0.412450697815534
Novel exact recall,factorial_effects,Selection main: random minus UD,23,0.41908753033980584
Novel exact recall,factorial_effects,Selection main: random minus UD,37,0.4214388652912623
Novel exact recall,factorial_effects,Selection main: random minus UD,53,0.42018734830097093
Novel exact recall,factorial_effects,Selection main: random minus UD,71,0.4160535497572815
Novel exact recall,factorial_effects,Selection main: random minus UD,83,0.42231113470873777
Novel exact recall,factorial_effects,Selection main: random minus UD,97,0.42047178398058255
Novel exact recall,factorial_effects,Selection main: random minus UD,109,0.4089236953883496
Novel exact recall,factorial_effects,Selection main: random minus UD,127,0.40953049150485443
Novel exact recall,factorial_effects,Selection main: random minus UD,149,0.4164327973300971
Novel exact recall,factorial_effects,Budget main: B200 minus B50,11,0.4126782463592233
Novel exact recall,factorial_effects,Budget main: B200 minus B50,23,0.40801350121359237
Novel exact recall,factorial_effects,Budget main: B200 minus B50,37,0.40672405946601947
Novel exact recall,factorial_effects,Budget main: B200 minus B50,53,0.40729293082524276
Novel exact recall,factorial_effects,Budget main: B200 minus B50,71,0.4079376516990292
Novel exact recall,factorial_effects,Budget main: B200 minus B50,83,0.4053966929611651
Novel exact recall,factorial_effects,Budget main: B200 minus B50,97,0.4104217233009709
Novel exact recall,factorial_effects,Budget main: B200 minus B50,109,0.40793765169902907
Novel exact recall,factorial_effects,Budget main: B200 minus B50,127,0.4095304915048544
Novel exact recall,factorial_effects,Budget main: B200 minus B50,149,0.41597770024271846
Novel exact recall,factorial_effects,Update main: anchored minus naive,11,0.0
Novel exact recall,factorial_effects,Update main: anchored minus naive,23,3.792475728148226e-05
Novel exact recall,factorial_effects,Update main: anchored minus naive,37,0.0
Novel exact recall,factorial_effects,Update main: anchored minus naive,53,3.792475728159328e-05
Novel exact recall,factorial_effects,Update main: anchored minus naive,71,0.0
Novel exact recall,factorial_effects,Update main: anchored minus naive,83,0.0
Novel exact recall,factorial_effects,Update main: anchored minus naive,97,-0.00013273665048540995
Novel exact recall,factorial_effects,Update main: anchored minus naive,109,0.00015169902912615107
Novel exact recall,factorial_effects,Update main: anchored minus naive,127,0.00015169902912637312
Novel exact recall,factorial_effects,Update main: anchored minus naive,149,0.0
Novel exact recall,factorial_effects,Selection x budget,11,-0.8245979975728157
Novel exact recall,factorial_effects,Selection x budget,23,-0.8155719053398058
Novel exact recall,factorial_effects,Selection x budget,37,-0.8145100121359224
Novel exact recall,factorial_effects,Selection x budget,53,-0.8141307645631067
Novel exact recall,factorial_effects,Selection x budget,71,-0.8148134101941747
Novel exact recall,factorial_effects,Selection x budget,83,-0.8115518810679611
Novel exact recall,factorial_effects,Selection x budget,97,-0.8202366504854369
Novel exact recall,factorial_effects,Selection x budget,109,-0.8154202063106798
Novel exact recall,factorial_effects,Selection x budget,127,-0.8184541868932039
Novel exact recall,factorial_effects,Selection x budget,149,-0.8318037014563108
Novel exact recall,factorial_effects,Selection x update,11,0.0
Novel exact recall,factorial_effects,Selection x update,23,-7.584951456309982e-05
Novel exact recall,factorial_effects,Selection x update,37,0.0
Novel exact recall,factorial_effects,Selection x update,53,-7.584951456309982e-05
Novel exact recall,factorial_effects,Selection x update,71,0.0
Novel exact recall,factorial_effects,Selection x update,83,0.0
Novel exact recall,factorial_effects,Selection x update,97,0.0002654733009708754
