short_method,evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
UD_B050,6,30000,35000,5000,1,1,0,2571,True,Benign|DoS,0.8411259541984732,0.4205629770992366,0.7258130918073281,,0.1441683719040312,0.3557108564333535,0.1223799868021551,0.7258130918073281,0.043562816024893,0.0155581485803189,0.028004667444574,0.9564371839751068,0.4423443851116831,0.2883367438080625,0.0267599835323178,0.971995332555426,0.9726,0.6292412091301666,0.3425919704029707
UD_B050,7,35000,40000,5000,1,1,0,3182,True,Benign|DoS,0.8500948766603416,0.4250474383301708,0.7392739273927392,,0.124006673668644,0.4738400303178055,0.1527638621813155,0.7392739273927392,0.0446260213702074,0.0182275298554368,0.0263984915147705,0.9553739786297926,0.4473604490152745,0.2480133473372881,0.0324532453245324,0.9736015084852294,0.9714,0.7113444513073914,0.3246933550613387
UD_B050,8,40000,45000,5000,1,1,0,2458,True,Benign|DoS,0.85340550293189,0.426702751465945,0.7442958300550747,,0.1478328173374613,0.4358301342778456,0.313436304262515,0.7442958300550747,0.065093572009764,0.016273393002441,0.048820179007323,0.934906427990236,0.459249537470827,0.2956656346749226,0.026750590086546,0.951179820992677,0.9624,0.5985037406483791,0.2338202892364286
UD_B050,9,45000,50000,5000,1,1,0,1414,True,Benign|DoS,0.8445303689382955,0.4222651844691477,0.7308979364194088,,0.1795816253799216,0.272619792350811,0.3549490356572905,0.7308979364194088,0.0707213578500707,0.0141442715700141,0.0565770862800565,0.9292786421499292,0.4576258633941831,0.3591632507598432,0.028165086447295,0.9434229137199436,0.9638,0.451960987756796,0.2409980186546538
UD_B200,4,20000,25000,5000,1,1,0,2084,True,Benign|DoS,0.8453771530390022,0.4226885765195011,0.7321673525377229,,0.3690304328717921,0.2683623737981691,0.0914931913145817,0.7321673525377229,0.6626679462571977,0.6434740882917467,0.019193857965451,0.3373320537428023,0.7540225496480999,0.7380608657435843,0.0246913580246913,0.980806142034549,0.9776,0.2888707037643208,0.3038637812555131
UD_B200,5,25000,30000,5000,1,1,0,2483,True,Benign|DoS,0.8644258966839612,0.4322129483419806,0.7612236789829162,,0.4475752791778355,0.3532812671071611,0.1076136160536063,0.7612236789829162,1.0,0.9532823197744664,0.0467176802255336,0.0,0.9322129483419804,0.8951505583556711,0.0226460071513706,0.9532823197744664,0.9654,0.1126993992127615,0.4175426011561602
UD_B200,6,30000,35000,5000,1,1,0,2571,True,Benign|DoS,0.8338934229476717,0.4169467114738358,0.715109098394401,,0.4411559162775599,0.3494109954694364,0.0626473288295407,0.715109098394401,1.0,0.9642162582652664,0.0357837417347335,0.0,0.916946711473836,0.8823118325551198,0.0238781391519143,0.9642162582652664,0.97,0.130721649484536,0.3988850768282631
UD_B200,7,35000,40000,5000,1,1,0,3182,True,Benign|DoS,0.8449809402795425,0.4224904701397712,0.7315731573157316,,0.450396031198515,0.4599091762444651,0.0789506983382184,0.7315731573157316,1.0,0.96291640477687,0.0370835952231301,0.0,0.9224904701397711,0.90079206239703,0.0302530253025302,0.96291640477687,0.9654,0.0897037497410399,0.4141357052296547
UD_B200,8,40000,45000,5000,1,1,0,2458,True,Benign|DoS,0.8526292033401038,0.4263146016700519,0.7431156569630213,,0.4149191841936059,0.3904319762679736,0.1824751817953099,0.7431156569630213,0.886899918633035,0.8291293734743694,0.0577705451586655,0.113100081366965,0.8697645609865694,0.8298383683872119,0.022816679779701,0.9422294548413344,0.96,0.181875,0.3863567067895254
UD_B200,9,45000,50000,5000,1,1,0,1414,True,Benign|DoS,0.8340107299626077,0.4170053649813038,0.7152816508644729,,0.3651026338901859,0.2597557190587426,0.2916366570925279,0.7152816508644729,0.7595473833097596,0.693069306930693,0.0664780763790664,0.2404526166902404,0.7967790566361836,0.7302052677803718,0.0239821528165086,0.9335219236209336,0.964,0.2645228215767635,0.3626451798318894
